date,raw_count,eligible_count,selected_universe_count,configured_top_n,raw_to_top_n_ratio,selected_to_top_n_ratio,candidate_pool_limited,universe_mode,candidate_source,possible_selection_bias
2024-06-28,300,183,183,500,0.6,0.366,True,dynamic_liquidity,cache,False
2024-07-31,300,174,174,500,0.6,0.348,True,dynamic_liquidity,cache,False
2024-08-30,300,185,185,500,0.6,0.37,True,dynamic_liquidity,cache,False
2024-09-30,300,227,227,500,0.6,0.454,True,dynamic_liquidity,cache,False
2024-10-31,300,294,294,500,0.6,0.588,True,dynamic_liquidity,cache,False
2024-11-29,299,293,293,500,0.598,0.586,True,dynamic_liquidity,cache,False
2024-12-31,298,289,289,500,0.596,0.578,True,dynamic_liquidity,cache,False
2025-01-27,300,245,245,500,0.6,0.49,True,dynamic_liquidity,cache,False
2025-02-28,300,261,261,500,0.6,0.522,True,dynamic_liquidity,cache,False
2025-03-31,299,273,273,500,0.598,0.546,True,dynamic_liquidity,cache,False
2025-04-30,299,267,267,500,0.598,0.534,True,dynamic_liquidity,cache,False
2025-05-30,300,263,263,500,0.6,0.526,True,dynamic_liquidity,cache,False
2025-06-30,299,269,269,500,0.598,0.538,True,dynamic_liquidity,cache,False
2025-07-31,300,281,281,500,0.6,0.562,True,dynamic_liquidity,cache,False
2025-08-29,300,287,287,500,0.6,0.574,True,dynamic_liquidity,cache,False
2025-09-30,300,278,278,500,0.6,0.556,True,dynamic_liquidity,cache,False
2025-10-31,299,275,275,500,0.598,0.55,True,dynamic_liquidity,cache,False
2025-11-28,300,289,289,500,0.6,0.578,True,dynamic_liquidity,cache,False
2025-12-31,299,265,265,500,0.598,0.53,True,dynamic_liquidity,cache,False
2026-01-30,300,291,291,500,0.6,0.582,True,dynamic_liquidity,cache,False
2026-02-27,300,286,286,500,0.6,0.572,True,dynamic_liquidity,cache,False
2026-03-31,300,283,283,500,0.6,0.566,True,dynamic_liquidity,cache,False
2026-04-30,298,273,273,500,0.596,0.546,True,dynamic_liquidity,cache,False
2026-05-29,298,274,274,500,0.596,0.548,True,dynamic_liquidity,cache,False
2026-06-24,299,262,262,500,0.598,0.524,True,dynamic_liquidity,cache,False
