factor,group,total_return,annual_return,observations,avg_group_size,confidence
composite_score,1,-0.13281137716216185,-0.034593070500302026,1020,559.5166666666667,normal
composite_score,2,1.02389570350064,0.19027271650875566,1020,558.9039215686274,normal
composite_score,3,1.1955574715477568,0.2144556477924826,1020,558.9480392156863,normal
composite_score,4,1.0340701170593314,0.19174824569453608,1020,558.9039215686274,normal
composite_score,5,0.846464563379085,0.16359511278551397,1020,559.3186274509804,normal
industry_momentum,1,0.7500288051924306,0.16186801857285427,940,567.0351063829787,normal
industry_momentum,2,0.8646064345297657,0.1817902225501815,940,566.4085106382979,normal
industry_momentum,3,0.7520309998268702,0.16222423080461024,940,566.4585106382979,normal
industry_momentum,4,0.5904988213026428,0.13247360882855697,940,566.3978723404256,normal
industry_momentum,5,0.39900334180012687,0.09418771799606884,940,566.8212765957447,normal
liquidity,1,2.536025765340794,0.34982937397044056,1061,570.5344015080113,normal
liquidity,2,1.4464572811024663,0.23675098866335853,1061,569.9085768143261,normal
liquidity,3,0.597244735911209,0.11764304283446325,1061,569.9651272384543,normal
liquidity,4,0.08621800285245729,0.019836872150397422,1061,569.9085768143261,normal
liquidity,5,-0.24492540425650966,-0.06454876212368554,1061,570.3430725730443,normal
momentum,1,0.7536323491065111,0.1625089139026572,940,567.0329787234042,normal
momentum,2,0.7611934804085603,0.16385054495139761,940,566.4117021276596,normal
momentum,3,0.8690443767338243,0.18254362949861447,940,566.4659574468085,normal
momentum,4,0.5561739656652573,0.12586917379061702,940,566.4010638297873,normal
momentum,5,0.40323050905640545,0.09507306913045466,940,566.8095744680851,normal
short_term_reversal,1,-0.22959448083410516,-0.060127079579663234,1060,570.538679245283,normal
short_term_reversal,2,0.7878463000186793,0.1481217111575881,1060,569.9528301886793,normal
short_term_reversal,3,1.0140539284149193,0.18110525002857725,1060,569.9509433962264,normal
short_term_reversal,4,0.9689151319576228,0.17475771237929005,1060,569.7830188679245,normal
short_term_reversal,5,0.9020768990650114,0.16515183251075616,1060,570.2943396226415,normal
trend,1,1.2488102674656991,0.23677721902961335,961,567.6618106139438,normal
trend,2,0.9597438059131747,0.1929507135205688,961,567.0509885535901,normal
trend,3,0.7456282116863118,0.157300778008586,961,567.0634755463059,normal
trend,4,0.6826102986566245,0.1461961672607961,961,567.0509885535901,normal
trend,5,-0.08777470199852067,-0.02380247411466807,961,567.4734651404787,normal
volatility,1,0.14592678987667318,0.03422546610427912,1020,569.3990196078431,normal
volatility,2,0.7836056202199977,0.1536806109501765,1020,568.7745098039215,normal
volatility,3,1.0016694080683912,0.18702984904780062,1020,568.7882352941176,normal
volatility,4,0.9055487451720245,0.17268515450160815,1020,568.7745098039215,normal
volatility,5,0.719761592945733,0.1433376572728713,1020,569.1872549019607,normal
