factor,horizon,ic_mean,ic_std,positive_ic_ratio,observations,avg_count,icir
composite_score,1,0.04591473314667947,0.186298311190199,0.5921787709497207,358,299.29888268156424,0.24645812865047062
composite_score,5,0.05946718891661381,0.15307164995935868,0.652542372881356,354,299.2909604519774,0.38849250617212694
composite_score,20,0.07636646601791569,0.12780521397045866,0.7551622418879056,339,299.25958702064895,0.5975223048064948
industry_momentum,1,-0.004741281798262334,0.16314161349385964,0.4888268156424581,358,299.29888268156424,-0.029062369169474883
industry_momentum,5,-0.012335172582093516,0.15628372809596275,0.4491525423728814,354,299.2909604519774,-0.07892806712749623
industry_momentum,20,-0.019740498171706967,0.1430104072848664,0.4424778761061947,339,299.25958702064895,-0.13803539579035898
liquidity,1,-0.048189731638923046,0.19469686126658234,0.3966597077244259,479,299.4759916492693,-0.2475115999581566
liquidity,5,-0.07943351462961665,0.17754450599135374,0.3368421052631579,475,299.4715789473684,-0.44740057815973755
liquidity,20,-0.12325978334826569,0.1818225970007118,0.30869565217391304,460,299.454347826087,-0.6779123463283453
momentum,1,-0.004741281798262334,0.16314161349385964,0.4888268156424581,358,299.29888268156424,-0.029062369169474883
momentum,5,-0.012335172582093516,0.15628372809596275,0.4491525423728814,354,299.2909604519774,-0.07892806712749623
momentum,20,-0.019740498171706967,0.1430104072848664,0.4424778761061947,339,299.25958702064895,-0.13803539579035898
trend,1,-0.04596519748856948,0.15941606238760017,0.39050131926121373,379,299.3377308707124,-0.2883347938729716
trend,5,-0.07178295025664022,0.15937697979719875,0.328,375,299.3306666666667,-0.4503972301895879
trend,20,-0.09294113791145073,0.15823846911105438,0.2833333333333333,360,299.3027777777778,-0.5873485659560008
volatility,1,0.037178051029463886,0.21608281720569578,0.5570776255707762,438,299.4269406392694,0.172054638634561
volatility,5,0.051371694195879704,0.19667386509710305,0.6105990783410138,434,299.4216589861751,0.26120244380470253
volatility,20,0.07064606556122385,0.19693319128492157,0.6610978520286396,419,299.40095465393796,0.35873112653221373
