date,symbol,shares,close,market_value,weight,industry,market_cap
2025-07-01,000001.SZ,2600,11.67,30342.0,0.03022815498085953,,0.0
2025-07-01,000027.SZ,3800,6.27,23826.0,0.0237366034069593,,0.0
2025-07-01,000039.SZ,2300,7.72,17756.0,0.01768937841408417,,0.0
2025-07-01,000060.SZ,4200,4.63,19446.0,0.01937303743186983,,0.0
2025-07-01,000063.SZ,500,32.64,16320.0,0.016258766372936113,,0.0
2025-07-01,000070.SZ,2200,8.13,17886.0,0.017818890646221528,,0.0
2025-07-01,000155.SZ,2000,9.65,19300.0,0.019227585232700184,,0.0
2025-07-01,000156.SZ,2200,7.72,16984.0,0.01692027500477616,,0.0
2025-07-01,000157.SZ,2800,6.8,19040.0,0.018968560768425465,,0.0
2025-07-01,000166.SZ,4100,4.91,20131.0,0.02005546727043976,,0.0
2025-07-01,000301.SZ,2300,8.5,19550.0,0.019476647217579718,,0.0
2025-07-01,000333.SZ,200,71.66,14332.0,0.014278225469174042,,0.0
2025-07-01,000338.SZ,1400,14.71,20594.0,0.020516730066436662,,0.0
2025-07-01,000408.SZ,400,42.03,16812.0,0.01674892035917904,,0.0
2025-07-01,000423.SZ,300,48.99,14697.0,0.014641855967098164,,0.0
2025-07-01,000429.SZ,2000,12.97,25940.0,0.02584267155110066,,0.0
2025-07-01,000506.SZ,900,9.49,8541.0,0.00850895365142447,,0.0
2025-07-01,000513.SZ,500,34.91,17455.0,0.017389507784289205,,0.0
2025-07-01,000534.SZ,900,14.87,13383.0,0.013332786174571324,,0.0
2025-07-01,000538.SZ,600,53.2,31920.0,0.03180023422941916,,0.0
2025-07-01,000543.SZ,2900,7.04,20416.0,0.02033939793320243,,0.0
2025-07-01,000568.SZ,200,107.29,21458.0,0.021377488286180336,,0.0
2025-07-01,000581.SZ,800,18.81,15047.999999999998,0.014991538993869031,,0.0
2025-07-01,000591.SZ,5700,4.29,24453.0,0.024361250865037178,,0.0
2025-07-01,000598.SZ,3500,7.23,25305.0,0.02521005410950664,,0.0
2025-07-01,000600.SZ,1700,6.84,11628.0,0.01158437104071698,,0.0
2025-07-01,000623.SZ,1200,16.49,19787.999999999996,0.019713754227185035,,0.0
2025-07-01,000630.SZ,5700,3.34,19038.0,0.01896656827254643,,0.0
2025-07-01,000650.SZ,4700,5.49,25803.0,0.025706185583386675,,0.0
2025-07-01,000651.SZ,600,42.47,25482.0,0.02538638999480135,,0.0
2025-07-01,000678.SZ,400,15.41,6164.0,0.006140872299189841,,0.0
2025-07-01,000683.SZ,4500,4.77,21464.999999999996,0.02138446202175696,,0.0
2025-07-01,000690.SZ,4100,4.39,17999.0,0.017931466663387078,,0.0
2025-07-01,000708.SZ,1800,11.22,20196.0,0.02012022338650844,,0.0
2025-07-01,000709.SZ,9000,2.16,19440.0,0.019367059944232722,,0.0
2025-07-01,000719.SZ,1800,12.49,22482.0,0.022397646176246917,,0.0
2025-07-01,000725.SZ,5400,3.96,21384.0,0.021303765938655995,,0.0
2025-07-01,000728.SZ,2500,7.79,19475.0,0.019401928622115858,,0.0
2025-07-01,000729.SZ,1500,12.73,19095.0,0.019023354405098964,,0.0
2025-07-01,000758.SZ,3900,5.07,19773.0,0.019698810508092263,,0.0
2025-07-01,000759.SZ,1100,7.73,8503.0,0.00847109622972278,,0.0
2025-07-01,000778.SZ,5400,3.69,19926.0,0.01985123644283854,,0.0
2025-07-01,000786.SZ,800,25.6,20480.0,0.020403157801331593,,0.0
2025-07-01,000791.SZ,2600,6.15,15990.000000000002,0.015930004552895127,,0.0
2025-07-01,000792.SZ,1200,17.01,20412.000000000004,0.020335412941444364,,0.0
2025-07-01,000825.SZ,5500,3.69,20295.0,0.020218851932520737,,0.0
2025-07-01,000830.SZ,1900,10.33,19627.0,0.019553358308922617,,0.0
2025-07-01,000831.SZ,400,36.0,14400.0,0.014345970329061276,,0.0
2025-07-01,000848.SZ,1600,8.88,14208.000000000002,0.014154690724673794,,0.0
2025-07-01,000858.SZ,200,113.01,22602.0,0.022517195928989094,,0.0
2025-07-02,000001.SZ,2600,11.68,30368.0,0.030109504142173775,,0.0
2025-07-02,000027.SZ,3800,6.31,23978.0,0.023773896546398932,,0.0
2025-07-02,000039.SZ,2300,8.12,18676.0,0.01851702777131314,,0.0
2025-07-02,000060.SZ,4200,4.7,19740.0,0.019571970882722285,,0.0
2025-07-02,000063.SZ,500,32.04,16020.0,0.015883635944336928,,0.0
2025-07-02,000070.SZ,2200,8.13,17886.0,0.017733752340849583,,0.0
2025-07-02,000155.SZ,2000,9.7,19400.0,0.019234865001256957,,0.0
2025-07-02,000156.SZ,2200,7.68,16896.0,0.01675217933305348,,0.0
2025-07-02,000157.SZ,2800,6.88,19264.0,0.019100022648670823,,0.0
2025-07-02,000166.SZ,4100,4.91,20131.0,0.01995964264640741,,0.0
2025-07-02,000301.SZ,2300,8.5,19550.0,0.019383588184256364,,0.0
2025-07-02,000333.SZ,200,72.05,14410.0,0.014287340446809935,,0.0
2025-07-02,000338.SZ,1400,14.64,20496.0,0.020321535725039308,,0.0
2025-07-02,000408.SZ,400,42.25,16900.0,0.01675614528460013,,0.0
2025-07-02,000423.SZ,300,48.48,14543.999999999998,0.01442019982362274,,0.0
2025-07-02,000429.SZ,2000,12.76,25520.0,0.02530277086763286,,0.0
2025-07-02,000506.SZ,900,9.52,8568.0,0.008495068212926268,,0.0
2025-07-02,000513.SZ,500,34.46,17230.0,0.017083336287198832,,0.0
2025-07-02,000534.SZ,900,14.71,13239.0,0.013126308131527879,,0.0
2025-07-02,000538.SZ,600,53.02,31812.000000000004,0.03154121265051476,,0.0
2025-07-02,000543.SZ,2900,7.07,20503.0,0.02032847614024595,,0.0
2025-07-02,000568.SZ,200,107.58,21516.0,0.02133285336943529,,0.0
2025-07-02,000581.SZ,800,18.75,15000.0,0.014872318299940946,,0.0
2025-07-02,000591.SZ,5700,4.33,24681.0,0.02447091253072283,,0.0
2025-07-02,000598.SZ,3500,7.23,25305.0,0.025089600972000376,,0.0
2025-07-02,000600.SZ,1700,6.96,11832.0,0.011731284674993417,,0.0
2025-07-02,000623.SZ,1200,16.5,19800.0,0.01963146015592205,,0.0
2025-07-02,000630.SZ,5700,3.38,19266.0,0.01910200562444415,,0.0
2025-07-02,000650.SZ,4700,5.48,25756.000000000004,0.02553676200888527,,0.0
2025-07-02,000651.SZ,600,43.37,26022.0,0.025800497786737552,,0.0
2025-07-02,000678.SZ,400,15.11,6044.0,0.005992552786989539,,0.0
2025-07-02,000683.SZ,4500,4.88,21960.0,0.021773073991113542,,0.0
2025-07-02,000690.SZ,4100,4.4,18040.0,0.017886441475395642,,0.0
2025-07-02,000708.SZ,1800,11.65,20970.0,0.020791500983317442,,0.0
2025-07-02,000709.SZ,9000,2.23,20070.0,0.019899161885320985,,0.0
2025-07-02,000719.SZ,1800,12.56,22608.0,0.022415558141670993,,0.0
2025-07-02,000725.SZ,5400,3.95,21330.0,0.021148436622516024,,0.0
2025-07-02,000728.SZ,2500,7.77,19425.0,0.019259652198423523,,0.0
2025-07-02,000729.SZ,1500,12.55,18825.0,0.018664759466425887,,0.0
2025-07-02,000758.SZ,3900,5.13,20007.0,0.019836698148461233,,0.0
2025-07-02,000759.SZ,1100,7.72,8492.0,0.0084197151335399,,0.0
