date,raw_count,eligible_count,selected_universe_count,configured_top_n,raw_to_top_n_ratio,selected_to_top_n_ratio,candidate_pool_limited,st_count,paused_count,limit_buy_blocked_count,listed_days_fallback_rate,industry_coverage_rate,avg_amount_median,avg_amount_min,universe_mode,candidate_source,possible_selection_bias
2024-06-28,300,183,183,3000,0.1,0.061,True,0,0,0,0.0,1.0,147497725.0526316,50010534.315789476,dynamic_liquidity,akshare_metadata,False
2024-07-31,300,174,174,3000,0.1,0.058,True,0,0,1,0.0,1.0,121624681.07499999,50683117.9,dynamic_liquidity,akshare_metadata,False
2024-08-30,300,185,185,3000,0.1,0.06166666666666667,True,0,0,0,0.0,1.0,112263241.7,51102293.3,dynamic_liquidity,akshare_metadata,False
2024-09-30,300,227,227,3000,0.1,0.07566666666666666,True,0,0,6,0.0,1.0,139826889.1,52213377.25,dynamic_liquidity,akshare_metadata,False
2024-10-31,300,294,294,3000,0.1,0.098,True,0,0,2,0.0,1.0,224524591.75,51091459.65,dynamic_liquidity,akshare_metadata,False
2024-11-29,299,293,293,3000,0.09966666666666667,0.09766666666666667,True,0,0,3,0.0,1.0,226400108.8,50959359.15,dynamic_liquidity,akshare_metadata,False
2024-12-31,298,289,289,3000,0.09933333333333333,0.09633333333333334,True,0,0,0,0.0,1.0,185895225.2,50230477.55,dynamic_liquidity,akshare_metadata,False
2025-01-27,300,245,245,3000,0.1,0.08166666666666667,True,0,0,1,0.0,1.0,160062471.25,50088736.4,dynamic_liquidity,akshare_metadata,False
2025-02-28,300,261,261,3000,0.1,0.087,True,0,0,1,0.0,1.0,183572088.3,50239600.95,dynamic_liquidity,akshare_metadata,False
2025-03-31,299,273,273,3000,0.09966666666666667,0.091,True,0,0,0,0.0,1.0,174250511.2,50489725.6,dynamic_liquidity,akshare_metadata,False
2025-04-30,299,267,267,3000,0.09966666666666667,0.089,True,0,0,1,0.0,1.0,180625779.5,50450676.1,dynamic_liquidity,akshare_metadata,False
2025-05-30,300,263,263,3000,0.1,0.08766666666666667,True,0,0,0,0.0,1.0,159680364.7,50108997.45,dynamic_liquidity,akshare_metadata,False
2025-06-30,299,269,269,3000,0.09966666666666667,0.08966666666666667,True,0,0,0,0.0,1.0,158632505.15,50357235.2,dynamic_liquidity,akshare_metadata,False
2025-07-31,300,281,281,3000,0.1,0.09366666666666666,True,0,0,0,0.0,1.0,221921371.0,50092096.35,dynamic_liquidity,akshare_metadata,False
2025-08-29,300,287,287,3000,0.1,0.09566666666666666,True,0,0,0,0.0,1.0,212249139.4,50956884.15,dynamic_liquidity,akshare_metadata,False
2025-09-30,300,278,278,3000,0.1,0.09266666666666666,True,0,0,0,0.0,1.0,199222824.27499998,50232662.85,dynamic_liquidity,akshare_metadata,False
2025-10-31,299,275,275,3000,0.09966666666666667,0.09166666666666666,True,0,0,0,0.0,1.0,238220631.9,50909381.2,dynamic_liquidity,akshare_metadata,False
2025-11-28,300,289,289,3000,0.1,0.09633333333333334,True,0,0,0,0.0,1.0,230692504.35,53781298.75,dynamic_liquidity,akshare_metadata,False
2025-12-31,299,265,265,3000,0.09966666666666667,0.08833333333333333,True,0,0,0,0.0,1.0,245658687.2,50159879.9,dynamic_liquidity,akshare_metadata,False
2026-01-30,300,291,291,3000,0.1,0.097,True,0,0,0,0.0,1.0,295373220.3,50244459.25,dynamic_liquidity,akshare_metadata,False
2026-02-27,300,286,286,3000,0.1,0.09533333333333334,True,0,0,1,0.0,1.0,236541077.89999998,50078713.35,dynamic_liquidity,akshare_metadata,False
2026-03-31,300,283,283,3000,0.1,0.09433333333333334,True,0,0,1,0.0,1.0,242926817.0,51058927.55,dynamic_liquidity,akshare_metadata,False
2026-04-30,298,273,273,3000,0.09933333333333333,0.091,True,0,0,0,0.0,1.0,198882655.45,50581397.45,dynamic_liquidity,akshare_metadata,False
2026-05-29,298,274,274,3000,0.09933333333333333,0.09133333333333334,True,0,0,0,0.0,1.0,261974564.10000002,50900085.4,dynamic_liquidity,akshare_metadata,False
2026-06-24,299,262,262,3000,0.09966666666666667,0.08733333333333333,True,0,0,0,0.0,1.0,244353372.55,50219173.8,dynamic_liquidity,akshare_metadata,False
