industry,avg_weight,max_weight,days
C 制造业,0.3521050248223592,0.5739306973771058,354
电子,0.05614557828737606,0.1589851669629242,304
数字芯片设计,0.052395361375329,0.1403172772158284,334
I 信息技术,0.03891392071396743,0.1276057034043067,274
汽车零部件,0.03573669370080225,0.0823291499298765,298
电力设备,0.03237422279152113,0.12849738161115348,248
国防军工,0.030922458550245356,0.06446325142503151,59
J 金融业,0.030713316389537147,0.0819292564286275,144
印制电路板,0.02947427553999999,0.0638837497259739,189
垂直应用软件,0.02933190227143025,0.07842007549846719,335
铜,0.02879812967478519,0.0831810509341248,144
贵金属,0.027924748502504055,0.0645166305690829,80
煤炭,0.027470966036689165,0.0672293925960961,42
机械设备,0.027426465182267695,0.0975193848758039,165
化学制剂,0.027109067215752736,0.0821752883529278,110
其他生物制品,0.02683440868502718,0.0811020021355493,242
L 商务服务,0.02654143756463679,0.060179054527734796,179
模拟芯片设计,0.0261777369752504,0.0630560660734288,118
公用事业,0.025987861901977424,0.041604866468909,23
保险Ⅱ,0.025975822319467386,0.0398838653606952,16
基础建设,0.0259480113704814,0.0451589840694558,21
汽车,0.025922695332323633,0.062131530124908796,153
通信设备,0.024889023526470287,0.059736600198300696,163
B 采矿业,0.024866833174667,0.078987334948179,162
消费电子,0.02461270175596753,0.0587219626056762,231
工业金属,0.024553619136789818,0.0594169546271677,88
IT服务Ⅱ,0.024432187458291094,0.0575200606725684,112
计算机,0.024408042873220036,0.0614857538489534,40
航空装备Ⅱ,0.024225392012516667,0.095511647825096,181
F 批发零售,0.024061415009229398,0.0610456696549206,180
稀土,0.023956636349446423,0.044059939442325696,31
板材,0.02385643584856823,0.055789404221385605,95
油服工程,0.023533066546751684,0.0626703989109167,27
底盘与发动机系统,0.023475366241208252,0.0434499326624848,104
火力发电,0.023415095011571206,0.0624177987975509,77
航运,0.0232959342261342,0.0493301611205082,52
电网设备,0.02306675452196283,0.0407772597540891,62
金属制品,0.022445852207409273,0.0406796868053923,105
有色金属,0.02239718824207757,0.0412936152697657,31
清洁小家电,0.022336527565948366,0.0413238409270803,84
医药生物,0.0220922014624714,0.0398127264525005,54
电视广播Ⅱ,0.022091890376652715,0.0250373508300231,14
基础化工,0.021773239730524956,0.0410813788338083,46
线下药店,0.021501845752716475,0.0403287363630143,12
D 水电煤气,0.02140557932452075,0.040515849430919904,19
交通运输,0.021351623943995694,0.0383841373716094,31
M 科研服务,0.021225136931320086,0.0403453270669366,33
自动化设备,0.021218107213036026,0.042839454915133496,78
焦煤,0.021209973489656617,0.037566206831114904,23
住宅开发,0.02116382635825366,0.041326839228655904,70
食品饮料,0.021158496201265378,0.0419977766821512,141
建筑材料,0.021156006303144133,0.0442231456428459,66
军工电子Ⅱ,0.021135745351354273,0.0450970487674128,114
集成电路制造,0.02107432547767129,0.0403092275902274,52
输变电设备,0.020991561361713765,0.0413795019046629,62
石油石化,0.020944473430631314,0.039238385763756004,25
通信线缆及配套,0.020921896522317584,0.0414878114202404,105
股份制银行Ⅲ,0.020918315942851692,0.0408951542029653,45
分立器件,0.02089222583825088,0.040066969287838705,206
R 文化传播,0.020877837849860047,0.0349150360668156,62
通信,0.02079639417433445,0.0211844341305161,6
食品及饲料添加剂,0.0206484143416249,0.0213487441794537,3
塑料,0.020603003253865198,0.0225386473878029,10
房屋建设Ⅱ,0.02056492383783285,0.0235516195746132,10
水泥制造,0.020535798070038778,0.0229102094898453,13
氟化工,0.020531298659479547,0.0408255666073485,34
化学纤维,0.020472803031790148,0.0415491643198385,34
传媒,0.020464164732262733,0.0207778471090421,3
电动乘用车,0.02045617314446223,0.020685788871289,3
油气及炼化工程,0.0204453939666563,0.0215624825672008,14
航空运输,0.02038104268487229,0.021509126483615,31
unknown,0.02036675330470256,0.025939495540554,33
K 房地产,0.020361277438369105,0.0215580872973673,18
酒店,0.020348617204425434,0.0206046389966882,3
煤化工,0.020284739703206375,0.0218724652877093,11
Q 卫生,0.020275692402411727,0.0254877802750254,39
其他种植业,0.0202639405601574,0.0211817519073146,9
旅游零售Ⅱ,0.02026069371347655,0.0211021739882854,6
油气开采Ⅱ,0.020248612983299833,0.0205395397585551,3
N 公共环保,0.02022415180986449,0.0220873973833203,10
元件,0.02020457696742465,0.021095195597908,8
大气治理,0.02019674915898847,0.0207477919119427,7
乘用车,0.020168608489392,0.0205180231561828,3
G 运输仓储,0.020112694479917734,0.020416746155559,3
医疗设备,0.02008721762273011,0.039584479704587,140
房地产开发,0.020059229918831238,0.0202939014040264,5
航运港口,0.020028576507955143,0.0211558188926965,7
白酒Ⅱ,0.0200151063645315,0.0200151063645315,1
装修建材,0.02000632716330069,0.0237042348356325,115
A 农林牧渔,0.019959496339126487,0.0205076479357768,7
电池化学品,0.01994906905617678,0.0227092770923451,78
其他石化,0.01991605424482995,0.0214715649239889,16
商用载货车,0.0198554299609045,0.0198554299609045,1
非金属材料Ⅱ,0.0198307451280715,0.0206329365463138,23
电池,0.019824707532357214,0.0216642633512202,26
其他计算机设备,0.0198118411150194,0.0223054971458259,63
美容护理,0.019781126092528474,0.0210018407077331,16
轻工制造,0.019780763457877323,0.0210223756607093,21
化学制药,0.01977587326117499,0.0213759374941478,93
彩电,0.019747267612033024,0.0209654202195335,8
多元金融,0.0197277824205722,0.0203017204634179,3
非银金融,0.01971947790634249,0.0212892511828423,25
影视动漫制作,0.019698403648020585,0.0227851735231882,34
E 建筑业,0.019691411789511643,0.0207242130089928,16
跨境物流,0.0196895877647538,0.019879104829748,4
其他农产品加工,0.019687910493482612,0.0217092876995836,41
钢铁,0.019669278815191555,0.0242003978291308,47
航海装备Ⅱ,0.01963500017830234,0.0204694632970441,7
能源金属,0.019593179751967827,0.0204104690590098,11
国际工程,0.019563505477909398,0.0202347460851013,10
农化制品,0.019560196161718016,0.0215971934104636,13
医疗耗材,0.0195441232862854,0.0204443228599722,13
磷肥及磷化工,0.01953430024889549,0.0218451300806915,16
银行Ⅱ,0.019531753243121768,0.0208580051959823,56
期货,0.019509318471231517,0.0204982683677157,6
航空机场,0.019469908139377178,0.0203886371376871,10
电机Ⅱ,0.019456504753521533,0.0211015188464723,33
综合电力设备商,0.01943980022039729,0.022065839694097,38
化学原料,0.01938261748393355,0.0201903313669941,4
固废治理,0.019280939925211186,0.0213216691227781,87
商业物业经营,0.01925909126523103,0.0230735231770375,37
燃气Ⅱ,0.01922413174038859,0.0202753746445853,16
线缆部件及其他,0.019221727613137885,0.0203779657595222,31
游戏Ⅱ,0.019159057018010753,0.0204544737921823,42
其他电源设备Ⅱ,0.01914503744874673,0.0217579117082698,74
纺织服饰,0.019134064975627866,0.0216705813175333,44
地面兵装Ⅱ,0.019100839274706065,0.0226329237507626,34
品牌消费电子,0.01902049022111027,0.0204197999288332,32
纺织化学制品,0.018998306334737532,0.0200010291913056,13
数字媒体,0.01897283137117918,0.0209861257140448,24
