date,industry,portfolio_weight,benchmark_weight,active_weight
2025-01-03,I 信息技术,0.13297968855180228,0.04891304347826087,0.08406664507354142
2025-01-03,A 农林牧渔,0.0190037909107643,0.005434782608695652,0.013569008302068648
2025-01-03,K 房地产,0.0190011804200485,0.007608695652173913,0.011392484767874585
2025-01-03,J 金融业,0.0189608594054413,0.007608695652173913,0.011352163753267384
2025-01-03,L 商务服务,0.0190033120797274,0.009782608695652175,0.009220703384075225
2025-01-03,F 批发零售,0.0189999109768605,0.01956521739130435,-0.0005653064144438488
2025-01-03,P 教育,0.0,0.002173913043478261,-0.002173913043478261
2025-01-03,Q 卫生,0.0,0.002173913043478261,-0.002173913043478261
2025-01-03,R 文化传播,0.0,0.004347826086956522,-0.004347826086956522
2025-01-03,B 采矿业,0.0,0.005434782608695652,-0.005434782608695652
2025-01-03,E 建筑业,0.0,0.007608695652173913,-0.007608695652173913
2025-01-03,G 运输仓储,0.0,0.007608695652173913,-0.007608695652173913
2025-01-03,D 水电煤气,0.0,0.010869565217391304,-0.010869565217391304
2025-01-03,N 公共环保,0.0,0.010869565217391304,-0.010869565217391304
2025-01-03,M 科研服务,0.0,0.014130434782608696,-0.014130434782608696
2025-01-03,unknown,0.3985567294256878,0.44565217391304346,-0.04709544448735564
2025-01-03,C 制造业,0.3229236624771101,0.39021739130434785,-0.06729372882723778
2025-01-06,I 信息技术,0.1328226750982519,0.04896626768226333,0.08385640741598857
2025-01-06,R 文化传播,0.0210123515515834,0.004352557127312296,0.016659794424271103
2025-01-06,G 运输仓储,0.0210187721594006,0.007616974972796518,0.01340179718660408
2025-01-06,A 农林牧渔,0.0186765501472765,0.00544069640914037,0.013235853738136131
2025-01-06,K 房地产,0.0186812762923851,0.007616974972796518,0.01106430131958858
2025-01-06,L 商务服务,0.0193776290522364,0.009793253536452665,0.009584375515783734
2025-01-06,F 批发零售,0.0190391340491744,0.01958650707290533,-0.0005473730237309307
2025-01-06,P 教育,0.0,0.002176278563656148,-0.002176278563656148
2025-01-06,Q 卫生,0.0,0.002176278563656148,-0.002176278563656148
2025-01-06,B 采矿业,0.0,0.00544069640914037,-0.00544069640914037
2025-01-06,E 建筑业,0.0,0.007616974972796518,-0.007616974972796518
2025-01-06,J 金融业,0.0,0.007616974972796518,-0.007616974972796518
2025-01-06,D 水电煤气,0.0,0.01088139281828074,-0.01088139281828074
2025-01-06,N 公共环保,0.0,0.01088139281828074,-0.01088139281828074
2025-01-06,M 科研服务,0.0,0.014145810663764961,-0.014145810663764961
2025-01-06,C 制造业,0.3535700253629236,0.3906420021762786,-0.037071976813355
2025-01-06,unknown,0.38475815627415777,0.44504896626768226,-0.060290809993524486
2025-01-07,I 信息技术,0.1530119860406797,0.04891304347826087,0.10409894256241883
2025-01-07,F 批发零售,0.0386770020266531,0.01956521739130435,0.01911178463534875
2025-01-07,R 文化传播,0.0207508364478669,0.004347826086956522,0.01640301036091038
2025-01-07,G 运输仓储,0.021041193341823,0.007608695652173913,0.013432497689649086
2025-01-07,A 农林牧渔,0.0185808201678127,0.005434782608695652,0.013146037559117047
2025-01-07,E 建筑业,0.019577482927157,0.007608695652173913,0.011968787274983086
2025-01-07,K 房地产,0.0184169515667605,0.007608695652173913,0.010808255914586586
2025-01-07,L 商务服务,0.0195771596921195,0.009782608695652175,0.009794550996467326
2025-01-07,P 教育,0.0,0.002173913043478261,-0.002173913043478261
2025-01-07,Q 卫生,0.0,0.002173913043478261,-0.002173913043478261
2025-01-07,B 采矿业,0.0,0.005434782608695652,-0.005434782608695652
2025-01-07,J 金融业,0.0,0.007608695652173913,-0.007608695652173913
2025-01-07,D 水电煤气,0.0,0.010869565217391304,-0.010869565217391304
2025-01-07,N 公共环保,0.0,0.010869565217391304,-0.010869565217391304
2025-01-07,M 科研服务,0.0,0.014130434782608696,-0.014130434782608696
2025-01-07,unknown,0.3849398912769807,0.44565217391304346,-0.060712282636062764
2025-01-07,C 制造业,0.2961039079375247,0.39021739130434785,-0.09411348336682313
