symbol,total_contribution,avg_contribution,holding_days,avg_weight,max_weight
688167.SH,0.05421505791464764,0.0003497745671912751,155,0.037510470598987856,0.0647575167336718
300394.SZ,0.053644914168506384,0.00022352047570210995,240,0.021525328987316274,0.0372148814679682
000811.SZ,0.041416699345930626,0.00016241842880757108,255,0.023453881051771923,0.0483606525549968
688627.SH,0.029659856254579994,0.00021970263892281478,135,0.02452413186305541,0.032918283115529
603444.SH,0.029142321543498294,0.00018213950964686434,160,0.02317165438289562,0.0414387009365426
688498.SH,0.028533462024015684,0.00017833413765009802,160,0.020204825164995853,0.0280727805709866
000960.SZ,0.02765606824746912,0.000230467235395576,120,0.024546042004132917,0.0393781600393013
301150.SZ,0.02720208942591529,0.00013601044712957647,200,0.022457665105863805,0.0355968690557504
688172.SH,0.027005635220227548,0.0002250469601685629,120,0.026916380515238234,0.0456328298455128
300153.SZ,0.021871408153747243,0.000546785203843681,40,0.024783870281132672,0.0412437285050969
600113.SH,0.021846443020962468,0.0001820536918413539,120,0.033488506020602375,0.0389869719895691
600105.SH,0.021469878984620785,0.00039036143608401426,55,0.026114830525482125,0.0332219603688746
603061.SH,0.021313524023194814,0.00022435288445468225,95,0.025289427523151796,0.0349973623898105
301489.SZ,0.02073822122861535,0.00011850412130637342,175,0.018448526396596568,0.0302337950386904
601231.SH,0.02051292557187625,6.95353409216144e-05,295,0.020277502255570727,0.0324470042499478
300903.SZ,0.019288219085816013,0.0005510919738804575,35,0.024786345922487654,0.034200062937147
603993.SH,0.01866916969927286,0.00023336462124091078,80,0.026118395534223498,0.0317343789074916
688019.SH,0.017978870676303285,5.707577992477233e-05,315,0.01989125564198034,0.023978864524854
000070.SZ,0.017977764484306585,0.00015632838682005725,115,0.023251446537931292,0.0298881954964131
603083.SH,0.017578065206226436,0.00029296775343710723,60,0.020846040264924877,0.0310754984440863
603319.SH,0.016724158915364464,7.778678565285797e-05,215,0.02029014382753691,0.0274621523165322
000630.SZ,0.014577961220098502,0.00018222451525123128,80,0.02337605916970595,0.028055758842023
301205.SZ,0.014425792849337463,0.0001518504510456575,95,0.021858691305063536,0.026911423372238
002155.SZ,0.014386820313589262,7.193410156794631e-05,200,0.022752391817384553,0.0330360658548397
000880.SZ,0.013652174047263387,9.75155289090242e-05,140,0.03043173044869048,0.0384664533129992
002565.SZ,0.013547881782715886,0.0003870823366490253,35,0.025841845013014165,0.0379701332145085
603766.SH,0.01295711257574221,5.3987969065592545e-05,240,0.021275044984208635,0.028076670026874
000962.SZ,0.012487073501744007,0.0001560884187718001,80,0.019858815112866735,0.0287182772259475
002048.SZ,0.01248355862649979,3.963034484603108e-05,315,0.02738542197867632,0.0433401533254628
688131.SH,0.011829789546466933,9.858157955389111e-05,120,0.022612935551886322,0.0272620649275991
000555.SZ,0.01168972306408235,6.494290591156861e-05,180,0.018311688957990565,0.0245096676709046
000534.SZ,0.01164870883725971,0.00010129312032399748,115,0.019777993343170777,0.0324428329417323
300803.SZ,0.011007541789598632,3.2858333700294424e-05,335,0.020282727043749362,0.0330024495662492
000657.SZ,0.010673391633491005,0.00017788986055818342,60,0.021358282317068676,0.0266525309195815
300533.SZ,0.010220404279834215,6.387752674896385e-05,160,0.023332720278335238,0.0305497193329087
688521.SH,0.010214811955836317,5.8370354033350384e-05,175,0.01898064470870134,0.0247033258864067
002471.SZ,0.009405987069573572,0.00011757483836966965,80,0.02065918897631522,0.0301728657109616
002716.SZ,0.009304733235398141,0.00011630916544247676,80,0.024938930300904848,0.0328978773919567
920002.BJ,0.009270197035829453,0.00023175492589573633,40,0.025744005671981568,0.0315787831741148
002272.SZ,0.008965450724030186,0.0004482725362015093,20,0.025323133336204527,0.031223836629029
688041.SH,0.008731044515162737,5.6329319452662825e-05,155,0.01930404301533821,0.0243967651921084
300378.SZ,0.008517698498861189,4.8672562850635366e-05,175,0.020433872303776447,0.0278920660444345
001331.SZ,0.008347939766378694,0.00023851256475367695,35,0.023225287655687182,0.0269236834063433
300503.SZ,0.008340200145186941,7.252347952336471e-05,115,0.01938369234269451,0.0259289219715664
920396.BJ,0.007998079289411156,0.00013330132149018593,60,0.026968867501632094,0.0338630835228465
688578.SH,0.007733751637214488,3.2223965155060365e-05,240,0.020505824202987934,0.0258488399081763
000933.SZ,0.007648452105433493,3.254660470397231e-05,235,0.019651337705705214,0.0261566506813714
688585.SH,0.007635944362548908,0.00010181259150065211,75,0.024257978590760003,0.0348845045694421
002600.SZ,0.007319750058836633,5.2283928991690236e-05,140,0.015682997691389134,0.0210661368988275
301349.SZ,0.007270828020562791,0.00036354140102813956,20,0.02070894902539889,0.0259722226563509
603486.SH,0.0068795964063907925,2.45699871656814e-05,280,0.020983575377467135,0.0281188893517713
688678.SH,0.006843257815868101,5.950658970320088e-05,115,0.018961973923853428,0.0238598376776416
300671.SZ,0.006530312300065786,5.678532434839814e-05,115,0.019576311377892845,0.0279468375370176
688383.SH,0.006476543885836547,0.00043176959238910314,15,0.022229202531145888,0.0246025767875251
002553.SZ,0.006138106560089419,0.00030690532800447097,20,0.019145375730195792,0.0216341265406781
002001.SZ,0.005992549802826795,1.788820836664715e-05,335,0.016344863913463552,0.02144572406604
688052.SH,0.0059068087048175615,1.9689362349391873e-05,300,0.01690020365289308,0.028060048589023
300458.SZ,0.005601241636934235,2.1543237065131675e-05,260,0.015320709931640013,0.0199326720315889
300952.SZ,0.005575681410800321,0.000278784070540016,20,0.018489655203398313,0.021024536558168
300766.SZ,0.00535739465400289,0.0002678697327001445,20,0.023903442076275743,0.0307440128421468
688158.SH,0.005302568068411731,6.628210085514664e-05,80,0.017562427864753254,0.0188864823737645
300682.SZ,0.0051074061121899866,3.192128820118742e-05,160,0.021747321806226273,0.0314096000440311
603978.SH,0.004664352658077232,0.0002332176329038616,20,0.0205968102444496,0.0234773664993872
300632.SZ,0.004444277012674568,0.00012697934321927336,35,0.020964737375464216,0.0286923733445933
301611.SZ,0.004350090348780833,4.579042472400877e-05,95,0.021026845087816194,0.0252855885686334
688048.SH,0.003986198219336514,3.321831849447095e-05,120,0.019868582542002942,0.0264530156028775
300102.SZ,0.003815514581446065,0.00019077572907230325,20,0.022277928856063275,0.0245297445693135
688027.SH,0.003785333151203961,2.8039504823733045e-05,135,0.021275550790811504,0.0266424690776067
688221.SH,0.0035326057242901295,5.887676207150216e-05,60,0.020900681885330587,0.0271589895912969
688625.SH,0.003452912920485033,0.0002301941946990022,15,0.021354103306206757,0.0227362719253783
688522.SH,0.003372384249491991,0.00016861921247459955,20,0.019183155846030704,0.020304253831883
605088.SH,0.0031927817321615215,7.981954330403803e-05,40,0.01829770562894418,0.0201124104900959
600126.SH,0.0030209621432742244,9.017797442609625e-06,335,0.019759138664657772,0.0371016776068531
688702.SH,0.002914421670288345,3.88589556038446e-05,75,0.019129930678987436,0.0316500143497452
600761.SH,0.002842689298904782,4.737815498174636e-05,60,0.02082595872994351,0.022289953601865
