industry,avg_weight,max_weight,days
C 制造业,0.37928352430296214,0.4537593279815792,335
I 信息技术,0.06447555429095775,0.1211559242101597,335
分立器件,0.05331305649495053,0.1216345604453242,275
数字芯片设计,0.04449263452887057,0.0958094806736729,215
IT服务Ⅱ,0.0374527226558321,0.0576415297113773,215
商业物业经营,0.033488506020602375,0.0389869719895691,120
消费电子,0.027669458191988166,0.0521648970183409,295
电子,0.027518225847375323,0.0565160405124294,315
其他自动化设备,0.026968867501632094,0.0338630835228465,60
铜,0.026118395534223498,0.0317343789074916,80
通信线缆及配套,0.026114830525482125,0.0332219603688746,55
通用设备,0.02452413186305541,0.032918283115529,135
清洁小家电,0.02448977266387132,0.0404118222519846,280
塑料,0.024257978590760003,0.0348845045694421,75
unknown,0.02423712777431435,0.0269236834063433,24
通信设备,0.023968897154154,0.0463225774086835,275
化学制剂,0.0236669995967892,0.0464728209455586,280
金属制品,0.023255563799177825,0.0315787831741148,60
游戏Ⅱ,0.02317165438289562,0.0414387009365426,160
B 采矿业,0.022752391817384553,0.0330360658548397,200
医药生物,0.022408927603134354,0.0272620649275991,140
集成电路制造,0.022378474599681276,0.040890471520556096,260
有色金属,0.02201987670878896,0.0263660535354566,80
垂直应用软件,0.021868531347757424,0.0264693766245683,80
底盘与发动机系统,0.021677826162034907,0.0402045020745377,235
农化制品,0.021608915736542077,0.0257734808618068,120
基础化工,0.021354103306206757,0.0227362719253783,15
M 科研服务,0.02112489031503072,0.0221755655885386,20
机械设备,0.021106607490183983,0.0246025767875251,75
F 批发零售,0.021089588049800045,0.0269353845022556,60
其他生物制品,0.02102720420704523,0.0358241946238411,160
汽车,0.020768002807666514,0.0406037717281697,320
D 水电煤气,0.020607402607126374,0.0255469488296158,16
园林工程,0.020456406999978704,0.0219644003385723,20
电力设备,0.02029379083071876,0.0238275008476684,35
J 金融业,0.020282727043749362,0.0330024495662492,335
G 运输仓储,0.020209701692565966,0.0248447729419594,80
石油石化,0.020137478835708447,0.0221787664334337,80
油气开采Ⅱ,0.020082235437932566,0.0216296588858971,20
印制电路板,0.019926732105838403,0.0223135370716537,75
军工电子Ⅱ,0.01980694828057043,0.0216870654445002,35
食品及饲料添加剂,0.019759774467866455,0.021403795445831,40
板材,0.019759138664657772,0.0371016776068531,335
汽车零部件,0.019406664223399775,0.0220144417502794,60
水泥制造,0.019314177755775975,0.0202267711919728,20
种植业,0.01919480935391822,0.0283883289287354,60
K 房地产,0.018512182942185405,0.0203052745636347,60
一般零售,0.017882848576086546,0.0206438556581985,20
输变电设备,0.01779382878270827,0.0220792895960004,100
非银金融,0.017781212201286947,0.018995987479461,60
航空运输,0.017639038120368752,0.0228805216842697,155
银行Ⅱ,0.017362081530056396,0.019004140839595,20
其他计算机设备,0.016981886652050453,0.0189061912147872,40
模拟芯片设计,0.01690020365289308,0.028060048589023,300
啤酒,0.015887190684603016,0.0193193520754716,55
锂,0.015586718801278208,0.0196045806701622,35
R 文化传播,0.014909412878643964,0.0310169053894258,260
金融控股,0.014172396047321238,0.0240936607633492,280
食品饮料,0.013732213238295671,0.0231837589767914,275
计算机,0.011223682650149485,0.0186534863748735,335
