industry,avg_weight,max_weight,days
C 制造业,0.37237227513232896,0.5246367767112889,354
I 信息技术,0.09615655638305534,0.1962559782186042,354
数字芯片设计,0.06361444912360516,0.11645045623395989,354
铜,0.04266000718010686,0.0647718012119918,216
底盘与发动机系统,0.041223087362271926,0.09840221063133339,295
板材,0.040351585725294396,0.0542509130642488,103
电池化学品,0.03884673279269092,0.0626460230623703,354
F 批发零售,0.037664597398385805,0.058937782366594,57
燃气Ⅱ,0.03557783007190175,0.0362334511786789,2
电子,0.0333094770970957,0.07530271535751701,354
垂直应用软件,0.0316049558148029,0.042478875351782894,95
分立器件,0.03009254469913371,0.06575391182555321,259
建筑装饰,0.02756796774547202,0.0304768214853064,11
化学工程,0.027102629075796223,0.0301558817080031,21
IT服务Ⅱ,0.02702183986181273,0.0752267565515783,280
通信线缆及配套,0.026652802388554175,0.0462630675222881,168
煤化工,0.0253944193596642,0.0253944193596642,1
金属制品,0.024841994967476126,0.0467148470227674,66
一般零售,0.023395943049603435,0.0252852970258824,14
住宅开发,0.02296166992490511,0.026543470456106,9
商业物业经营,0.02291076607871473,0.0257538809029888,22
游戏Ⅱ,0.022694715880089898,0.0357306186945814,233
电力设备,0.0226240485592801,0.0478625544213154,78
清洁小家电,0.022478550667071013,0.0297804296097558,199
模拟芯片设计,0.022408851213503125,0.0364578635653487,158
化学制剂,0.021997014299466003,0.0579123004489028,234
K 房地产,0.021653820770700168,0.0275110348832146,62
磷肥及磷化工,0.021511095762801993,0.0248663032687211,12
输变电设备,0.021005043982472906,0.0402113106049787,105
超市,0.020921264849581775,0.024329697900842,4
油品石化贸易,0.02052454500456837,0.0249228459024441,31
消费电子,0.020383980803053682,0.0423174407865709,224
自动化设备,0.02025536274992296,0.021994316659843,15
unknown,0.02007295487669352,0.0315579452225291,16
L 商务服务,0.020056466651407822,0.0312118431709096,210
水泥制造,0.019335567259079,0.019335567259079,1
电池,0.019016399073733183,0.0217121490856933,26
机床工具,0.018938686340479714,0.0193319683324206,8
通信设备,0.018720095477443553,0.0305311697100338,159
宠物食品,0.0186470945835993,0.0187961010211147,2
特种纸,0.018436087096350254,0.0205254790540056,23
有色金属,0.01842939007168996,0.040368927762439805,102
M 科研服务,0.018359015125402167,0.0192636940294685,3
J 金融业,0.018145920118759127,0.0269691953873357,195
公交,0.018137024143489888,0.0210253454560877,8
医疗设备,0.018053527268050325,0.0214326439551531,59
E 建筑业,0.017972554193815465,0.0190031132281787,3
园林工程,0.017834610043736637,0.0181070098073292,3
军工电子Ⅱ,0.017808351953083636,0.0355196886114701,40
交通运输,0.017355652511945284,0.0191249747699936,30
航运港口,0.01725260444140074,0.0195725273967496,31
环境治理,0.01679058389561242,0.0286303177712324,21
集成电路制造,0.016401516817218523,0.0379845792277499,84
R 文化传播,0.016397485200842294,0.0597818991294613,309
机械设备,0.016382624080100636,0.0179966669172745,19
B 采矿业,0.016368100207913645,0.0213326697785115,148
工程咨询服务Ⅱ,0.016202069656404857,0.0190498871186168,89
非银金融,0.015904535816186897,0.0193969322774417,125
农化制品,0.015875392761685616,0.0174956711618515,32
医药生物,0.014554265147554712,0.0172478728673824,88
食品及饲料添加剂,0.01428645754079695,0.0151899697464692,6
银行Ⅱ,0.014136172820024885,0.0338365296164437,354
电能综合服务,0.01381729874194977,0.0182301545436724,58
其他自动化设备,0.013699853491858508,0.0149328788936436,12
石油石化,0.013671465218321419,0.0193021921962524,73
航空装备Ⅱ,0.013038518291764915,0.0463566279060555,82
塑料,0.013037104193319882,0.0307121741994166,101
食品饮料,0.012990675566153425,0.0196789406548634,343
建筑材料,0.01223206517420589,0.0144689584022783,10
传媒,0.012180714674945678,0.0611579299990862,89
煤炭,0.012099242160685674,0.0160265668260866,28
火力发电,0.011438429335346197,0.0190266285460066,354
其他家电Ⅱ,0.011080735378099138,0.0122650005710781,18
航运,0.011011093686371565,0.0119002731176653,38
工业金属,0.010989948962635651,0.0112369772469761,2
其他生物制品,0.01054591637232586,0.0109188452151269,5
贵金属,0.010241361752615667,0.01551012643868,178
公用事业,0.009341860509223173,0.0162205389598329,22
其他橡胶制品,0.00905882765891544,0.0092341686449588,5
综合Ⅱ,0.008782422010849621,0.0160624027680978,48
G 运输仓储,0.00761815933836768,0.038471735934399995,112
电网设备,0.007421664532098645,0.0283507518520754,29
N 公共环保,0.004204893091854896,0.0124598260901591,31
