symbol,avg_weight,max_weight,holding_days,first_date,last_date
300698.SZ,0.12907721606907646,0.1565175678955117,67,2025-06-25,2025-09-25
002365.SZ,0.12518964871000163,0.1821294866799777,33,2025-04-24,2025-06-24
301413.SZ,0.07094340584835179,0.1148481737833571,223,2025-02-14,2026-06-24
300025.SZ,0.05780701696068827,0.0664654479742646,24,2025-01-06,2025-02-14
603636.SH,0.0547957463551186,0.0561697444508767,2,2025-02-17,2025-02-18
002187.SZ,0.05293516840139246,0.058937782366594,33,2025-02-19,2025-04-07
688048.SH,0.04724611970555445,0.0503363836171563,8,2025-03-03,2025-03-12
000070.SZ,0.045587921683936515,0.0554900035159801,17,2026-03-11,2026-04-02
688281.SH,0.0438629070446544,0.0463566279060555,6,2026-01-30,2026-02-09
301529.SZ,0.04317192662728607,0.072165362058206,120,2025-08-11,2026-06-24
300377.SZ,0.04292780532803725,0.0605855696946617,172,2025-04-08,2025-12-17
301631.SZ,0.04285074518779736,0.0448869623675784,19,2026-05-08,2026-06-03
688223.SH,0.04262034093026539,0.0462409487826425,18,2026-02-05,2026-03-10
600010.SH,0.04230180610418978,0.0511461763080446,85,2026-02-11,2026-06-24
301231.SZ,0.0416273318221556,0.0416273318221556,1,2026-02-10,2026-02-10
301093.SZ,0.04049722030106667,0.0430857203179432,14,2026-06-04,2026-06-24
600933.SH,0.039710504217800265,0.0489472937503969,77,2025-02-20,2025-06-13
000811.SZ,0.038452769813753326,0.0896158023268712,246,2025-02-24,2026-06-24
603061.SH,0.03782065361958818,0.0491183122910399,61,2026-03-25,2026-06-24
688385.SH,0.03654902734123054,0.0487329291100517,176,2025-09-25,2026-06-24
002871.SZ,0.03592087927213925,0.0363161248233768,4,2025-09-19,2025-09-24
600681.SH,0.03557783007190175,0.0362334511786789,2,2025-11-13,2025-11-14
688472.SH,0.03520305790961863,0.042308295067922,9,2025-10-31,2025-11-12
000630.SZ,0.03508802965793806,0.0531045384367111,95,2025-10-09,2026-05-11
002255.SZ,0.03381488208029645,0.0371937313682016,9,2025-11-05,2025-11-17
301330.SZ,0.0325461832293571,0.0347513183206248,23,2025-08-29,2025-09-30
603811.SH,0.032403255156716944,0.0338463419886366,9,2025-08-27,2025-09-08
002682.SZ,0.03185466575856282,0.0366908302059285,6,2025-11-17,2025-12-10
600126.SH,0.031142211713843966,0.0542509130642488,18,2025-02-06,2025-03-31
603993.SH,0.03020753850453613,0.042539488067038,216,2025-07-31,2026-06-24
688110.SH,0.02987366153094514,0.0468240927509027,120,2025-04-30,2026-06-24
002580.SZ,0.028513930628985766,0.0519857099726046,9,2025-02-25,2026-04-22
603232.SH,0.027774401857301453,0.0323569396530444,33,2025-06-27,2025-12-08
603098.SH,0.02756796774547202,0.0304768214853064,11,2025-09-09,2025-09-23
603200.SH,0.027502896450505698,0.0286303177712324,5,2025-02-28,2025-03-06
600841.SH,0.027208402137091733,0.0273965020287065,3,2026-03-20,2026-03-24
605167.SH,0.027102629075796223,0.0301558817080031,21,2025-06-16,2025-07-14
603319.SH,0.027009801323098562,0.034431694193481,295,2025-01-03,2026-03-26
600105.SH,0.026652802388554175,0.0462630675222881,168,2025-01-03,2026-06-24
301232.SZ,0.025921569361358202,0.0388049638685022,132,2025-11-06,2026-06-24
600722.SH,0.0253944193596642,0.0253944193596642,1,2026-03-04,2026-03-04
688316.SH,0.0248841909414963,0.027609786102057,16,2025-03-19,2025-04-10
920002.BJ,0.024841994967476126,0.0467148470227674,66,2025-03-13,2025-06-20
603893.SH,0.024243735150025137,0.0297128850114201,18,2025-01-03,2025-02-05
000965.SZ,0.024217070101828313,0.0275110348832146,40,2025-05-08,2025-07-03
002205.SZ,0.0242033562241161,0.0242033562241161,1,2025-08-12,2025-08-12
300378.SZ,0.023756429577891352,0.035359714457214,152,2025-01-03,2025-08-19
000534.SZ,0.023610470366036234,0.0336703068363339,55,2026-04-01,2026-06-24
920953.BJ,0.023519366985765754,0.0291927821801635,17,2025-02-21,2025-03-26
603486.SH,0.023475451863356245,0.0297804296097558,170,2025-07-15,2026-03-27
