symbol,avg_weight,max_weight,holding_days,first_date,last_date
300480.SZ,0.027663258459981827,0.0309458548994853,40,2026-02-04,2026-04-09
688172.SH,0.026035566070429672,0.0323567294775076,45,2025-11-24,2026-03-11
301529.SZ,0.02562625596005185,0.0352590680163894,90,2025-08-15,2026-06-09
301086.SZ,0.024967609667889846,0.0346603091128597,60,2026-02-11,2026-06-24
300153.SZ,0.02427237578762228,0.038938289674627,30,2025-01-23,2025-09-11
600694.SH,0.024136186797784554,0.0262488208161345,15,2025-01-16,2025-02-13
002155.SZ,0.02384615018426844,0.0284008379656992,50,2025-03-07,2026-02-03
300137.SZ,0.023826432274760202,0.0254173313639321,5,2026-04-10,2026-04-16
002682.SZ,0.02381671649170435,0.0332262189251512,15,2025-11-17,2025-12-12
688167.SH,0.023778357841365744,0.0389285779429637,160,2025-02-28,2026-06-16
301093.SZ,0.023688759964679142,0.0303754559815227,60,2026-03-12,2026-06-24
002953.SZ,0.023676449273177528,0.0246662263568745,15,2025-01-16,2025-02-13
603662.SH,0.02363408801272408,0.0245225823144092,5,2025-01-16,2025-01-22
300767.SZ,0.02363193504632707,0.0286839553192062,15,2025-08-08,2025-08-28
002358.SZ,0.023573748620507217,0.0270704857063414,25,2025-03-07,2026-03-11
688052.SH,0.023556423014937888,0.0326494395558493,65,2025-05-08,2026-06-24
000811.SZ,0.023394498506187845,0.0282525112486125,20,2025-08-01,2026-05-19
301161.SZ,0.023257387005078043,0.0245097531085344,15,2025-08-29,2025-09-18
600105.SH,0.02305810135027242,0.0356886890605105,155,2025-06-20,2026-05-12
600152.SH,0.02292152431591416,0.025062867703553,5,2026-04-24,2026-04-30
301500.SZ,0.022860848201979807,0.0272881155320293,65,2026-03-19,2026-06-24
600115.SH,0.02284488945252751,0.0245130202887606,45,2025-11-03,2026-01-06
688627.SH,0.02277057790102064,0.0293686022266778,100,2025-07-18,2026-06-09
000880.SZ,0.022702253100926058,0.0449159507377098,100,2025-01-16,2025-09-25
002831.SZ,0.02263602290466741,0.0282933037900454,45,2026-04-17,2026-06-24
000960.SZ,0.022624869571754108,0.025836721704668,95,2025-08-01,2025-12-19
002370.SZ,0.022618175503793914,0.0259979714094112,15,2025-08-29,2025-11-14
603893.SH,0.022605778059090725,0.0278953267135189,20,2025-02-14,2025-08-28
300668.SZ,0.022494755182087354,0.0248756403367508,15,2026-04-10,2026-05-26
002131.SZ,0.02244239121199013,0.0242956875344167,15,2025-01-16,2026-01-20
300970.SZ,0.02243720320215045,0.02337824576262,10,2026-05-13,2026-05-26
600126.SH,0.022307719111006485,0.0345526622901229,35,2025-02-07,2025-06-19
605499.SH,0.022265984190829296,0.0239915301715055,45,2025-05-08,2025-07-10
600673.SH,0.022234134716309247,0.0239348190875321,35,2025-06-27,2025-08-14
603171.SH,0.022225974800894735,0.0252305997853616,20,2025-02-28,2026-03-11
603200.SH,0.02222217610318416,0.0232165990935229,5,2025-02-28,2025-03-06
688498.SH,0.02216533683066304,0.0290815057973981,140,2025-04-21,2026-04-16
600120.SH,0.02216233042690133,0.0265788248974893,10,2025-02-07,2025-03-06
300649.SZ,0.02214454647271636,0.0225794452227262,5,2025-08-01,2025-08-07
301336.SZ,0.022123257829995,0.0268325652557609,30,2025-01-16,2025-04-18
301631.SZ,0.02211893950111291,0.0234741937224882,25,2026-05-06,2026-06-09
603316.SH,0.0221138292613661,0.0223890105708714,5,2025-08-01,2025-08-07
603486.SH,0.022061375128520827,0.0272294056655043,55,2025-04-28,2025-07-17
300674.SZ,0.02190210195796368,0.0227062194981115,5,2025-02-28,2025-03-06
300249.SZ,0.02187344171458334,0.0230293244320763,5,2025-04-28,2025-05-07
002553.SZ,0.021849551283613038,0.0243641640457378,20,2025-04-07,2025-05-07
001282.SZ,0.021842583978682297,0.0232067706654231,15,2025-02-14,2025-03-06
603598.SH,0.02181205423777902,0.0270803347559651,35,2025-01-09,2026-02-03
300655.SZ,0.021774423680287473,0.0251546686804636,40,2025-10-20,2026-02-25
600556.SH,0.02175968097898626,0.0247682598368543,5,2025-01-16,2025-01-22
