industry,avg_weight,max_weight,days
C 制造业,0.39642061768885983,0.593557720912608,354
I 信息技术,0.06440502644503665,0.1620939578282328,347
数字芯片设计,0.041670594481338114,0.1027312364912934,281
电子,0.03922823973518939,0.1537138055303795,258
食品饮料,0.032366852925456914,0.0706814879566004,77
电力设备,0.03089807778945783,0.0965397462649186,145
银行Ⅱ,0.029615250254687114,0.07594441727546619,87
汽车零部件,0.029177074279263207,0.0646131860619179,257
F 批发零售,0.028839469855291046,0.0769822978393098,168
IT服务Ⅱ,0.028319441738564485,0.0811041986178309,177
B 采矿业,0.028298518762556416,0.0845380871764272,155
化学制剂,0.027617685381812362,0.061308145196088695,142
元件,0.02696982109780883,0.043270012409705294,7
集成电路制造,0.02682218880717819,0.0415818467063657,28
消费电子,0.026472888365803443,0.0818637874378225,188
医药生物,0.026404883930705256,0.0589134573452865,129
铜,0.025968107881940025,0.0476884557913338,132
基础建设,0.025165469817910513,0.0417040818308712,8
自动化设备,0.024829881496634024,0.0599193479026765,70
通用设备,0.024742731671743054,0.0638573565542422,139
底盘与发动机系统,0.024721448739096864,0.0598915688616114,159
机械设备,0.02438548091073942,0.0625278850201313,112
电池,0.024109232916167324,0.0585893278208357,71
L 商务服务,0.024104941293565225,0.0805055410530332,164
通信设备,0.023996161428252036,0.0616354059914831,157
电池化学品,0.0238157344221893,0.061301982953387305,85
印制电路板,0.023473273069925492,0.0595109759743941,129
分立器件,0.023426071093834943,0.046610660870041204,187
R 文化传播,0.02338689531053953,0.0603028273153539,82
建筑材料,0.023277366719539262,0.043104183036003205,31
汽车,0.02295637677582102,0.0447101849784955,229
unknown,0.02284617011443812,0.0266845816015964,28
其他生物制品,0.022817596210261106,0.0415430703085043,63
军工电子Ⅱ,0.022704937851896825,0.0574852018588035,70
一般零售,0.022578270469543426,0.0403816908650698,8
燃气Ⅱ,0.02242947007053728,0.0413358383478654,15
化学原料,0.022399243040056714,0.0587463697706851,101
J 金融业,0.022380329408543127,0.0414710481101383,41
其他计算机设备,0.022337647032635306,0.0418502768604473,108
固废治理,0.022196391138033615,0.025875763167225,17
金属制品,0.022055421261963738,0.0601334860108908,98
酒店,0.022011649351483482,0.0226187525915868,10
垂直应用软件,0.02178214688207179,0.0590938817832098,195
有色金属,0.021699858817533606,0.0410813820856838,84
专业服务,0.02167619615946516,0.0244004512221224,5
其他电子Ⅱ,0.021642402755160384,0.0343507933845031,20
塑料,0.021534575742762845,0.0431839827893221,103
模拟芯片设计,0.021505896794920945,0.0405486413105636,94
农化制品,0.0213523185601802,0.0415235608650117,49
D 水电煤气,0.02134197445630689,0.0419347181191429,63
商用载货车,0.02125506548822577,0.0241426963020939,60
磨具磨料,0.021192603026017484,0.0246591458991219,18
航运,0.021083237257693413,0.026074768567171,15
油服工程,0.021060759875786192,0.0257232115347282,12
包装印刷,0.02095604256629335,0.0224390367920808,8
厨卫电器,0.020923379526128723,0.0247945121904838,18
非银金融,0.02091663692242539,0.0409732702808443,34
油气及炼化工程,0.020911492088017,0.020911492088017,1
房屋建设Ⅱ,0.0208668493970102,0.021968804738466,6
工业金属,0.020861934210827635,0.040433138946702,59
建筑装饰,0.02085212760908662,0.0411160928545795,29
板材,0.02084888843214699,0.0310673938445458,38
保健品,0.02084150947077754,0.0228477216666079,5
其他电源设备Ⅱ,0.020830976136198383,0.0216963995062379,6
电网设备,0.020806818885665324,0.0240673261900561,39
输变电设备,0.020764894574420645,0.0229045470761028,7
传媒,0.02070414369560727,0.0407486263795087,47
鞋帽及其他,0.0206427087776652,0.0206427087776652,1
稀土,0.020611056945237387,0.0234389781314184,22
航运港口,0.020597575275416384,0.0222745652114033,6
文娱用品,0.02058817998112734,0.0228728456560524,23
M 科研服务,0.020580682544719613,0.0398525694645696,79
家电零部件Ⅱ,0.020566678133133457,0.0243887054432929,23
贵金属,0.02051220710664299,0.0227565631820667,34
乘用车,0.0204829605739162,0.0204829605739162,1
油气开采Ⅱ,0.02048110733056161,0.021422246679774,8
其他自动化设备,0.020472626044432413,0.0241335081669236,39
Q 卫生,0.020466342659371875,0.0259463282415519,47
E 建筑业,0.020452652652560886,0.0223125947533168,30
S 综合,0.020419695208594782,0.0235362568726042,32
综合Ⅱ,0.020404293838223817,0.0225853021035405,38
电能综合服务,0.0203935570677707,0.020735599651217,2
通信线缆及配套,0.02038255313566429,0.043894033620209,105
磷肥及磷化工,0.02037679971495475,0.0220466863109967,37
制冷空调设备,0.0203611075152684,0.0216794888820125,20
特钢Ⅱ,0.02032769947038555,0.0207753270137299,6
膜材料,0.020285662930197693,0.0264845360407094,45
游戏Ⅱ,0.020283858464903066,0.0229560922213419,80
种植业,0.020278172826399776,0.0206482306409597,4
多元金融,0.020267634449360326,0.0242007744309532,29
其他农产品加工,0.02025203363685926,0.0213281718365619,5
纺织化学制品,0.020231481993489425,0.0212288865102521,4
综合环境治理,0.020228934579974163,0.0301462158322487,49
焦炭Ⅱ,0.020223188441478662,0.0207849147584335,8
医疗设备,0.020202161071669382,0.021080928500736,16
N 公共环保,0.020181327079697747,0.0216155976309886,38
保险Ⅱ,0.020146770948696782,0.0216814773490592,18
工程咨询服务Ⅱ,0.020142948365849265,0.0232671020128052,11
公用事业,0.020141012682786848,0.0406245127658368,34
油品石化贸易,0.02011712903697134,0.0228941537331703,13
综合电力设备商,0.02010111092835757,0.021541498056678,7
轻工制造,0.0200905726176292,0.0202559182237983,2
电视广播Ⅱ,0.020068812381550498,0.0206392526243722,4
G 运输仓储,0.020050192676183687,0.0244172090638149,35
美容护理,0.02002909652654057,0.0211083163543597,22
化学纤维,0.02002355081164908,0.0203487402375355,5
跨境物流,0.02001737593713205,0.0200482128865357,2
钟表珠宝,0.019983592321231668,0.0220009837291603,20
火力发电,0.019975963682004053,0.0412865729226375,52
环境治理,0.01996032878463146,0.021866775484563,7
基础化工,0.01995396739643347,0.0232545891986988,46
电机Ⅱ,0.019940261801313596,0.0386044876079897,48
水泥制造,0.01990801978880056,0.0209448710306814,25
园林工程,0.0198693878568778,0.0221239189998234,16
煤化工,0.01985777908161981,0.0220530877722014,20
非金属材料Ⅱ,0.019849033466624814,0.0207155803911396,7
焦煤,0.0198389382679445,0.0204319695696916,5
煤炭,0.01983357242125104,0.0384581095107335,52
地面兵装Ⅱ,0.01980809662076736,0.0247209780803908,43
住宅开发,0.019796659845027067,0.0224494948609921,32
航海装备Ⅱ,0.0197913434790036,0.0209513785236505,13
品牌消费电子,0.019748413489594774,0.0200000127785057,4
P 教育,0.019743980347549567,0.020464136916145,3
大气治理,0.019719755394834886,0.0208473464076218,15
公交,0.019711625988927565,0.0207048559084127,6
电动乘用车,0.01968067992242088,0.0204992975758022,9
百货,0.019678741917372056,0.0206928929970801,21
农林牧渔,0.019678314930521083,0.0200784768382977,13
超市,0.019660558238417714,0.0223088004901393,20
国防军工,0.01963193798278504,0.0210027359121165,5
普钢,0.019629899382810977,0.0201023999599299,4
氟化工,0.01962888540340701,0.0208686719776778,39
通信,0.019603788239883752,0.0229523714451046,53
A 农林牧渔,0.019560889731991462,0.0209892506000765,26
股份制银行Ⅲ,0.019558674119199274,0.0207275582294374,25
清洁小家电,0.019460800427608775,0.020850974145173,27
计算机,0.01945250114344105,0.0211231680501369,47
金融控股,0.01945004436590823,0.0204212560079457,33
期货,0.019398290736046774,0.0196662560898174,4
商业物业经营,0.019398257945992484,0.0228077010069587,66
家用电器,0.0193622389463211,0.0193622389463211,1
商贸零售,0.019341682242203218,0.0211090581537775,29
其他种植业,0.01933922245209729,0.0207173403150526,11
航空运输,0.019327626230364124,0.0221708655498833,27
交通运输,0.019308284429676154,0.0203896872693494,41
特种纸,0.019278830930645342,0.0217197529949555,15
其他医疗服务,0.01912509793702815,0.019464832343562,2
食品及饲料添加剂,0.019116852627615186,0.0202615898052824,13
K 房地产,0.019019218894445494,0.0216813312122758,50
机床工具,0.019016414876204313,0.020040367107513,8
零食,0.0189959501355326,0.0189959501355326,1
印染,0.018992373950765567,0.0197186910488047,12
旅游零售Ⅱ,0.018938082342106484,0.0206365096614701,7
影视动漫制作,0.0189044163173185,0.0203121291309464,6
白酒Ⅱ,0.0188734132465563,0.0205208558493374,12
石油石化,0.01877177944245148,0.0207117539885046,39
航空装备Ⅱ,0.018748427606457608,0.0212240502023699,50
其他建材Ⅲ,0.018667557132351218,0.0193035132470172,6
线缆部件及其他,0.018437970519958748,0.0376446903193702,66
彩电,0.01838881567886503,0.0214175913094527,21
化学制药,0.017821836849207684,0.0221938613240879,20
旅游及景区,0.017297843457437935,0.0210350414760248,33
