symbol,reason
001399.SZ,no_bars_after_update
920000.BJ,no_bars_after_update
920002.BJ,no_bars_after_update
920005.BJ,no_bars_after_update
920008.BJ,no_bars_after_update
920009.BJ,no_bars_after_update
920011.BJ,no_bars_after_update
920035.BJ,no_bars_after_update
920036.BJ,no_bars_after_update
920057.BJ,no_bars_after_update
920060.BJ,no_bars_after_update
920062.BJ,no_bars_after_update
920066.BJ,no_bars_after_update
920068.BJ,no_bars_after_update
920069.BJ,no_bars_after_update
920076.BJ,no_bars_after_update
920078.BJ,no_bars_after_update
920087.BJ,no_bars_after_update
920088.BJ,no_bars_after_update
920089.BJ,no_bars_after_update
920091.BJ,no_bars_after_update
920118.BJ,no_bars_after_update
920124.BJ,no_bars_after_update
920126.BJ,no_bars_after_update
920139.BJ,no_bars_after_update
920149.BJ,no_bars_after_update
920158.BJ,no_bars_after_update
920160.BJ,no_bars_after_update
920171.BJ,no_bars_after_update
920180.BJ,no_bars_after_update
920186.BJ,no_bars_after_update
920188.BJ,no_bars_after_update
920195.BJ,no_bars_after_update
920199.BJ,no_bars_after_update
920206.BJ,no_bars_after_update
920208.BJ,no_bars_after_update
920211.BJ,no_bars_after_update
920225.BJ,no_bars_after_update
920230.BJ,no_bars_after_update
920239.BJ,no_bars_after_update
920252.BJ,no_bars_after_update
920260.BJ,no_bars_after_update
920261.BJ,no_bars_after_update
920262.BJ,no_bars_after_update
920267.BJ,no_bars_after_update
920273.BJ,no_bars_after_update
920274.BJ,no_bars_after_update
920275.BJ,no_bars_after_update
920278.BJ,no_bars_after_update
920284.BJ,no_bars_after_update
920339.BJ,no_bars_after_update
920344.BJ,no_bars_after_update
920346.BJ,no_bars_after_update
920357.BJ,no_bars_after_update
920367.BJ,no_bars_after_update
920368.BJ,no_bars_after_update
920370.BJ,no_bars_after_update
920371.BJ,no_bars_after_update
920394.BJ,no_bars_after_update
920395.BJ,no_bars_after_update
920396.BJ,no_bars_after_update
920403.BJ,no_bars_after_update
920405.BJ,no_bars_after_update
920419.BJ,no_bars_after_update
920422.BJ,no_bars_after_update
920478.BJ,no_bars_after_update
920493.BJ,no_bars_after_update
920505.BJ,no_bars_after_update
920508.BJ,no_bars_after_update
920522.BJ,no_bars_after_update
920523.BJ,no_bars_after_update
920526.BJ,no_bars_after_update
920556.BJ,no_bars_after_update
920564.BJ,no_bars_after_update
920566.BJ,no_bars_after_update
920576.BJ,no_bars_after_update
920579.BJ,no_bars_after_update
920580.BJ,no_bars_after_update
920593.BJ,no_bars_after_update
920599.BJ,no_bars_after_update
920608.BJ,no_bars_after_update
920634.BJ,no_bars_after_update
920675.BJ,no_bars_after_update
920685.BJ,no_bars_after_update
920699.BJ,no_bars_after_update
920701.BJ,no_bars_after_update
920703.BJ,no_bars_after_update
920706.BJ,no_bars_after_update
920718.BJ,no_bars_after_update
920719.BJ,no_bars_after_update
920725.BJ,no_bars_after_update
920726.BJ,no_bars_after_update
920729.BJ,no_bars_after_update
920735.BJ,no_bars_after_update
920748.BJ,no_bars_after_update
920751.BJ,no_bars_after_update
920765.BJ,no_bars_after_update
920770.BJ,no_bars_after_update
920790.BJ,no_bars_after_update
920792.BJ,no_bars_after_update
920809.BJ,no_bars_after_update
920826.BJ,no_bars_after_update
920834.BJ,no_bars_after_update
920837.BJ,no_bars_after_update
920839.BJ,no_bars_after_update
920855.BJ,no_bars_after_update
920856.BJ,no_bars_after_update
920866.BJ,no_bars_after_update
920871.BJ,no_bars_after_update
920876.BJ,no_bars_after_update
920879.BJ,no_bars_after_update
920885.BJ,no_bars_after_update
920895.BJ,no_bars_after_update
920925.BJ,no_bars_after_update
920932.BJ,no_bars_after_update
920953.BJ,no_bars_after_update
920961.BJ,no_bars_after_update
920970.BJ,no_bars_after_update
920971.BJ,no_bars_after_update
920981.BJ,no_bars_after_update
