date,raw_count,eligible_count,selected_universe_count,configured_top_n,candidate_pool_limited,st_count,paused_count,limit_buy_blocked_count,listed_days_fallback_rate,industry_coverage_rate,avg_amount_median,avg_amount_min
2018-01-02,1088,987,467,500,False,0,0,1,0.0,1.0,125380645.0,54557227.0
2018-01-03,1092,1010,466,500,False,0,0,4,0.0,1.0,137456199.0,58535077.5
2018-01-04,1091,1016,468,500,False,0,0,5,0.0,1.0,141972039.1666667,57816937.0
2018-01-05,1093,1022,470,500,False,0,0,4,0.0,1.0,143505610.375,59585648.75
2018-01-08,1095,1026,471,500,False,0,0,8,0.0,1.0,147759655.0,61279855.4
2018-01-09,1095,1027,468,500,False,0,0,6,0.0,1.0,149179635.0,61099999.5
2018-01-10,1096,1031,470,500,False,0,0,4,0.0,1.0,150486653.35714287,61760932.28571428
2018-01-11,1095,1029,470,500,False,0,0,4,0.0,1.0,148667109.0,61227014.375
2018-01-12,1094,1026,467,500,False,0,0,6,0.0,1.0,145389808.1111111,61599243.333333336
2018-01-15,1095,1034,468,500,False,0,0,4,0.0,1.0,147523198.65,62867084.7
2018-01-16,1093,1032,465,500,False,0,0,4,0.0,1.0,148457336.36363637,63523849.09090909
2018-01-17,1092,1033,464,500,False,0,0,7,0.0,1.0,152160097.16666666,64018082.0
2018-01-18,1087,1023,463,500,False,0,0,2,0.0,1.0,148305955.53846154,64347305.384615384
2018-01-19,1088,1026,463,500,False,0,0,4,0.0,1.0,148039720.14285713,65210754.928571425
2018-01-22,1082,1020,462,500,False,0,0,3,0.0,1.0,148396215.39999998,65788521.4
2018-01-23,1082,1021,462,500,False,0,0,2,0.0,1.0,146005129.03125,64289580.0625
2018-01-24,1086,1026,463,500,False,0,0,4,0.0,1.0,145998748.4117647,64928927.76470588
2018-01-25,1086,1028,463,500,False,0,0,4,0.0,1.0,149070239.66666666,67294259.44444445
2018-01-26,1083,1026,463,500,False,0,0,0,0.0,1.0,150460715.15789473,66799153.78947368
2018-01-29,1083,1027,464,500,False,0,0,4,0.0,1.0,152019980.175,67490897.75
2018-01-30,1084,1025,464,500,False,0,0,2,0.0,1.0,153349180.1888889,66814325.75
2018-01-31,1084,1022,463,500,False,0,0,2,0.0,1.0,150473225.25,66047413.1
2018-02-01,1084,1023,463,500,False,0,0,2,0.0,1.0,152885693.7,66868645.15
2018-02-02,1075,1019,463,500,False,0,0,1,0.0,1.0,149005885.05,65027255.4
2018-02-05,1066,1010,464,500,False,0,0,1,0.0,1.0,145290026.125,62716782.25
2018-02-06,1065,1007,463,500,False,0,0,1,0.0,1.0,144882022.4,62522168.15
2018-02-07,1060,1005,463,500,False,0,0,6,0.0,1.0,141907911.25,62125866.1
2018-02-08,1061,1006,463,500,False,0,0,1,0.0,1.0,138425435.3,61438517.3
2018-02-09,1062,1008,463,500,False,0,0,0,0.0,1.0,136710303.55,61029174.05
2018-02-12,1068,1014,464,500,False,0,0,2,0.0,1.0,135647148.625,60514712.25
2018-02-13,1069,1016,468,500,False,0,0,4,0.0,1.0,134939000.675,59093848.8
2018-02-14,1073,1018,468,500,False,0,0,2,0.0,1.0,128013409.8,56913158.5
2018-02-22,1077,1026,471,500,False,0,0,3,0.0,1.0,126940476.3076923,55035989.45
2018-02-23,1076,1024,472,500,False,0,0,5,0.0,1.0,125878294.1,55108615.6
2018-02-26,1077,1024,472,500,False,0,0,2,0.0,1.0,126457242.15,54691561.6
2018-02-27,1082,1029,472,500,False,0,0,5,0.0,1.0,126486952.9,54044344.15
2018-02-28,1082,1024,472,500,False,0,0,2,0.0,1.0,123390768.80000001,53992030.7
2018-03-01,1081,1021,474,500,False,0,0,2,0.0,1.0,119095114.525,53397932.6
2018-03-02,1083,1021,474,500,False,0,0,5,0.0,1.0,122365972.15,53879588.4
2018-03-05,1080,1014,473,500,False,0,0,8,0.0,1.0,118999957.7,53000013.95
2018-03-06,1079,1018,475,500,False,0,0,6,0.0,1.0,118875544.45,52689759.65
2018-03-07,1082,1018,475,500,False,0,0,5,0.0,1.0,120984240.85,53420620.7
2018-03-08,1081,1010,475,500,False,0,0,4,0.0,1.0,118498527.3,51803094.6
2018-03-09,1084,1022,474,500,False,0,0,5,0.0,1.0,121418181.82499999,54183022.15
2018-03-12,1086,1028,475,500,False,0,0,5,0.0,1.0,125302672.65,56481164.4
2018-03-13,1085,1026,475,500,False,0,0,5,0.0,1.0,125516570.7,57523881.8
2018-03-14,1085,1027,476,500,False,0,0,3,0.0,1.0,125706387.0,58051589.6
2018-03-15,1090,1035,477,500,False,0,0,2,0.0,1.0,129487213.3,59975945.35
2018-03-16,1091,1037,476,500,False,0,0,6,0.0,1.0,128373680.85,60241904.75
2018-03-19,1090,1039,477,500,False,0,0,4,0.0,1.0,127379824.15,61451180.45
2018-03-20,1088,1041,477,500,False,0,0,3,0.0,1.0,130975197.75,63093343.85
2018-03-21,1090,1045,477,500,False,0,0,3,0.0,1.0,137122038.05,65358201.5
2018-03-22,1089,1046,478,500,False,0,0,2,0.0,1.0,140325545.3,65933327.25
2018-03-23,1088,1050,478,500,False,0,0,3,0.0,1.0,146416562.425,69280411.7
2018-03-26,1088,1050,478,500,False,0,0,1,0.0,1.0,147499704.5,70014974.8
2018-03-27,1085,1048,479,500,False,0,0,3,0.0,1.0,148325736.4,69724019.2
2018-03-28,1084,1046,479,500,False,0,0,3,0.0,1.0,153910533.4,70689998.25
2018-03-29,1087,1050,479,500,False,0,0,4,0.0,1.0,155663041.8,70234776.45
2018-03-30,1092,1055,479,500,False,0,0,4,0.0,1.0,156790497.6,72280520.95
2018-04-02,1095,1060,482,500,False,0,0,5,0.0,1.0,160873757.65,75366600.4
2018-04-03,1092,1059,483,500,False,0,0,2,0.0,1.0,161896280.45,74903605.15
2018-04-04,1094,1062,484,500,False,0,0,8,0.0,1.0,163154637.925,76092183.2
2018-04-09,1090,1058,484,500,False,0,0,5,0.0,1.0,165320554.45,77024367.7
2018-04-10,1093,1062,483,500,False,0,0,6,0.0,1.0,165057323.9,77324459.9
2018-04-11,1094,1064,483,500,False,0,0,5,0.0,1.0,160919807.1,78213526.95
2018-04-12,1094,1066,484,500,False,0,0,3,0.0,1.0,162848976.825,77798562.0
2018-04-13,1094,1064,484,500,False,0,0,4,0.0,1.0,163374101.875,77711341.35
2018-04-16,1092,1062,483,500,False,0,0,8,0.0,1.0,161713298.65,76774816.45
2018-04-17,1096,1067,483,500,False,0,0,6,0.0,1.0,162584251.7,77141548.65
2018-04-18,1096,1065,483,500,False,0,0,3,0.0,1.0,165618465.45,78558083.1
2018-04-19,1096,1065,483,500,False,0,0,5,0.0,1.0,166209287.9,78144315.45
2018-04-20,1097,1066,483,500,False,0,0,3,0.0,1.0,166227061.15,78750282.65
2018-04-23,1099,1067,483,500,False,0,0,7,0.0,1.0,164868372.6,78307099.2
2018-04-24,1099,1065,483,500,False,0,0,4,0.0,1.0,161393389.9,76767510.35
2018-04-25,1103,1067,483,500,False,0,0,7,0.0,1.0,160229568.75,78000281.25
2018-04-26,1102,1065,484,500,False,0,0,5,0.0,1.0,161401004.47500002,77152977.45
2018-04-27,1101,1063,483,500,False,0,0,5,0.0,1.0,162835567.85,77150063.6
2018-05-02,1100,1064,483,500,False,0,0,1,0.0,1.0,163000707.0,75815352.7
2018-05-03,1101,1064,484,500,False,0,0,2,0.0,1.0,158661673.175,74208184.35
2018-05-04,1102,1064,484,500,False,0,0,2,0.0,1.0,153808079.275,72997453.95
2018-05-07,1103,1065,486,500,False,0,0,2,0.0,1.0,152712289.6,72116236.5
2018-05-08,1104,1064,486,500,False,0,0,5,0.0,1.0,150911922.3,72463869.1
2018-05-09,1102,1063,486,500,False,0,0,5,0.0,1.0,148978557.75,73075480.5
2018-05-10,1103,1064,486,500,False,0,0,5,0.0,1.0,146897119.275,72420830.95
2018-05-11,1105,1065,486,500,False,0,0,6,0.0,1.0,143947345.9,71588685.3
2018-05-14,1105,1059,486,500,False,0,0,3,0.0,1.0,141905673.625,70832481.35
2018-05-15,1105,1059,488,500,False,0,0,4,0.0,1.0,143355749.275,71017543.85
2018-05-16,1107,1063,488,500,False,0,0,3,0.0,1.0,141084279.275,71771809.85
2018-05-17,1109,1062,487,500,False,0,0,3,0.0,1.0,140743827.05,72321474.25
2018-05-18,1109,1059,487,500,False,0,0,5,0.0,1.0,139731531.25,72277745.3
2018-05-21,1106,1057,487,500,False,0,0,4,0.0,1.0,140645977.85,73197549.9
2018-05-22,1106,1057,487,500,False,0,0,3,0.0,1.0,142606688.2,73171727.1
2018-05-23,1107,1059,487,500,False,0,0,3,0.0,1.0,143021936.25,73779324.9
2018-05-24,1105,1061,488,500,False,0,0,4,0.0,1.0,141876505.725,72876549.4
2018-05-25,1108,1066,489,500,False,0,0,7,0.0,1.0,143209928.2,73156628.15
2018-05-28,1112,1068,489,500,False,0,0,3,0.0,1.0,142045791.35,73367495.15
2018-05-29,1111,1066,487,500,False,0,0,4,0.0,1.0,144046535.95,73643501.5
2018-05-30,1108,1063,487,500,False,0,0,2,0.0,1.0,145396292.95,74265802.25
2018-05-31,1107,1063,488,500,False,0,0,7,0.0,1.0,144892528.3,74009056.8
2018-06-01,1108,1062,487,500,False,0,0,3,0.0,1.0,144468767.85,73981179.85
2018-06-04,1112,1067,487,500,False,0,0,3,0.0,1.0,145551330.65,73053423.6
2018-06-05,1115,1066,487,500,False,0,0,3,0.0,1.0,142787704.4,72638035.7
2018-06-06,1116,1070,489,500,False,0,0,4,0.0,1.0,143583651.7,71325954.2
2018-06-07,1114,1068,489,500,False,0,0,6,0.0,1.0,142995450.1,70663618.4
2018-06-08,1112,1068,489,500,False,0,0,3,0.0,1.0,140783945.85,71155654.9
2018-06-11,1116,1068,489,500,False,0,0,5,0.0,1.0,141281688.25,70268673.05
2018-06-12,1115,1064,487,500,False,0,0,4,0.0,1.0,138041098.7,69373555.95
2018-06-13,1116,1065,487,500,False,0,0,8,0.0,1.0,138377804.4,67785239.7
2018-06-14,1113,1063,487,500,False,0,0,6,0.0,1.0,136083346.85,66858730.2
2018-06-15,1113,1064,487,500,False,0,0,4,0.0,1.0,135671122.05,67312656.55
2018-06-19,1106,1059,487,500,False,0,0,3,0.0,1.0,130771473.05,66809480.9
2018-06-20,1106,1058,487,500,False,0,0,3,0.0,1.0,127599897.0,64561458.85
2018-06-21,1106,1056,487,500,False,0,0,7,0.0,1.0,124613794.8,62740652.25
2018-06-22,1107,1053,486,500,False,0,0,1,0.0,1.0,123279890.675,61236514.15
2018-06-25,1108,1052,485,500,False,0,0,7,0.0,1.0,122920336.15,59485849.1
2018-06-26,1109,1050,485,500,False,0,0,1,0.0,1.0,119547226.6,58644858.75
