industry,avg_weight,max_weight,days
unknown,0.5065667544636603,0.7110739280200494,354
C 制造业,0.3738067525924725,0.5769488779696637,354
I 信息技术,0.054038726756253964,0.12318442109271499,343
J 金融业,0.03564975516893974,0.1035986980409167,255
A 农林牧渔,0.02344954120344072,0.0419743144392096,64
K 房地产,0.021771365576171615,0.0409083944782574,87
D 水电煤气,0.021154297180743385,0.0226629861813719,7
Q 卫生,0.02039609556818316,0.020960611958273,15
G 运输仓储,0.020160464958637034,0.0214849619927503,20
F 批发零售,0.02006148360910212,0.0224545985327538,38
B 采矿业,0.0199119240621769,0.039594491577646496,136
R 文化传播,0.019838692303332562,0.0400020005857041,142
L 商务服务,0.019508966935163394,0.0206227000176282,18
