industry,avg_weight,max_weight,days
unknown,0.5088235518185996,0.7003313211611385,483
C 制造业,0.3721998440294343,0.6320182153285953,483
I 信息技术,0.057502741243992885,0.1588172833968923,433
J 金融业,0.034165700047096015,0.1114717367816689,347
A 农林牧渔,0.02268687058606488,0.041927240361410906,70
G 运输仓储,0.02096984631103083,0.0402966004996376,41
Q 卫生,0.020566427737126174,0.0226129826502233,67
K 房地产,0.020532383006397998,0.0409619076875048,186
B 采矿业,0.020104790176216025,0.0217672528530574,104
L 商务服务,0.02009560649652511,0.0210261335309496,71
F 批发零售,0.01999777140554463,0.0211437666964445,65
D 水电煤气,0.019992152794327877,0.0207541169279114,29
R 文化传播,0.019925716430578975,0.0216802603605777,124
