data_type,synthetic_data,mock_data,download_source,symbol,qlib_symbol,name,weight,source
real_akshare,False,False,akshare,000001.SZ,SZ000001,平安银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,000002.SZ,SZ000002,万科A,,index_stock_cons_csindex
real_akshare,False,False,akshare,000063.SZ,SZ000063,中兴通讯,,index_stock_cons_csindex
real_akshare,False,False,akshare,000100.SZ,SZ000100,TCL科技,,index_stock_cons_csindex
real_akshare,False,False,akshare,000157.SZ,SZ000157,中联重科,,index_stock_cons_csindex
real_akshare,False,False,akshare,000166.SZ,SZ000166,申万宏源,,index_stock_cons_csindex
real_akshare,False,False,akshare,000301.SZ,SZ000301,东方盛虹,,index_stock_cons_csindex
real_akshare,False,False,akshare,000333.SZ,SZ000333,美的集团,,index_stock_cons_csindex
real_akshare,False,False,akshare,000338.SZ,SZ000338,潍柴动力,,index_stock_cons_csindex
real_akshare,False,False,akshare,000408.SZ,SZ000408,藏格矿业,,index_stock_cons_csindex
real_akshare,False,False,akshare,000425.SZ,SZ000425,徐工机械,,index_stock_cons_csindex
real_akshare,False,False,akshare,000538.SZ,SZ000538,云南白药,,index_stock_cons_csindex
real_akshare,False,False,akshare,000568.SZ,SZ000568,泸州老窖,,index_stock_cons_csindex
real_akshare,False,False,akshare,000596.SZ,SZ000596,古井贡酒,,index_stock_cons_csindex
real_akshare,False,False,akshare,000617.SZ,SZ000617,中油资本,,index_stock_cons_csindex
real_akshare,False,False,akshare,000625.SZ,SZ000625,长安汽车,,index_stock_cons_csindex
real_akshare,False,False,akshare,000630.SZ,SZ000630,铜陵有色,,index_stock_cons_csindex
real_akshare,False,False,akshare,000651.SZ,SZ000651,格力电器,,index_stock_cons_csindex
real_akshare,False,False,akshare,000657.SZ,SZ000657,中钨高新,,index_stock_cons_csindex
real_akshare,False,False,akshare,000708.SZ,SZ000708,中信特钢,,index_stock_cons_csindex
real_akshare,False,False,akshare,000725.SZ,SZ000725,京东方A,,index_stock_cons_csindex
real_akshare,False,False,akshare,000768.SZ,SZ000768,中航西飞,,index_stock_cons_csindex
real_akshare,False,False,akshare,000776.SZ,SZ000776,广发证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,000792.SZ,SZ000792,盐湖股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,000807.SZ,SZ000807,云铝股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,000858.SZ,SZ000858,五 粮 液,,index_stock_cons_csindex
real_akshare,False,False,akshare,000895.SZ,SZ000895,双汇发展,,index_stock_cons_csindex
real_akshare,False,False,akshare,000938.SZ,SZ000938,紫光股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,000963.SZ,SZ000963,华东医药,,index_stock_cons_csindex
real_akshare,False,False,akshare,000975.SZ,SZ000975,山金国际,,index_stock_cons_csindex
real_akshare,False,False,akshare,000977.SZ,SZ000977,浪潮信息,,index_stock_cons_csindex
real_akshare,False,False,akshare,000988.SZ,SZ000988,华工科技,,index_stock_cons_csindex
real_akshare,False,False,akshare,000999.SZ,SZ000999,华润三九,,index_stock_cons_csindex
real_akshare,False,False,akshare,001280.SZ,SZ001280,中国铀业,,index_stock_cons_csindex
real_akshare,False,False,akshare,001391.SZ,SZ001391,国货航,,index_stock_cons_csindex
real_akshare,False,False,akshare,001965.SZ,SZ001965,招商公路,,index_stock_cons_csindex
real_akshare,False,False,akshare,001979.SZ,SZ001979,招商蛇口,,index_stock_cons_csindex
real_akshare,False,False,akshare,002001.SZ,SZ002001,新和成,,index_stock_cons_csindex
real_akshare,False,False,akshare,002027.SZ,SZ002027,分众传媒,,index_stock_cons_csindex
real_akshare,False,False,akshare,002028.SZ,SZ002028,思源电气,,index_stock_cons_csindex
real_akshare,False,False,akshare,002049.SZ,SZ002049,紫光国微,,index_stock_cons_csindex
real_akshare,False,False,akshare,002050.SZ,SZ002050,三花智控,,index_stock_cons_csindex
real_akshare,False,False,akshare,002074.SZ,SZ002074,国轩高科,,index_stock_cons_csindex
real_akshare,False,False,akshare,002142.SZ,SZ002142,宁波银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,002179.SZ,SZ002179,中航光电,,index_stock_cons_csindex
real_akshare,False,False,akshare,002202.SZ,SZ002202,金风科技,,index_stock_cons_csindex
real_akshare,False,False,akshare,002230.SZ,SZ002230,科大讯飞,,index_stock_cons_csindex
real_akshare,False,False,akshare,002236.SZ,SZ002236,大华股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,002241.SZ,SZ002241,歌尔股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,002304.SZ,SZ002304,洋河股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,002311.SZ,SZ002311,海大集团,,index_stock_cons_csindex
real_akshare,False,False,akshare,002352.SZ,SZ002352,顺丰控股,,index_stock_cons_csindex
real_akshare,False,False,akshare,002353.SZ,SZ002353,杰瑞股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,002371.SZ,SZ002371,北方华创,,index_stock_cons_csindex
real_akshare,False,False,akshare,002384.SZ,SZ002384,东山精密,,index_stock_cons_csindex
real_akshare,False,False,akshare,002415.SZ,SZ002415,海康威视,,index_stock_cons_csindex
real_akshare,False,False,akshare,002422.SZ,SZ002422,科伦药业,,index_stock_cons_csindex
real_akshare,False,False,akshare,002460.SZ,SZ002460,赣锋锂业,,index_stock_cons_csindex
real_akshare,False,False,akshare,002463.SZ,SZ002463,沪电股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,002466.SZ,SZ002466,天齐锂业,,index_stock_cons_csindex
real_akshare,False,False,akshare,002475.SZ,SZ002475,立讯精密,,index_stock_cons_csindex
real_akshare,False,False,akshare,002493.SZ,SZ002493,荣盛石化,,index_stock_cons_csindex
real_akshare,False,False,akshare,002532.SZ,SZ002532,天山铝业,,index_stock_cons_csindex
real_akshare,False,False,akshare,002558.SZ,SZ002558,巨人网络,,index_stock_cons_csindex
real_akshare,False,False,akshare,002594.SZ,SZ002594,比亚迪,,index_stock_cons_csindex
real_akshare,False,False,akshare,002600.SZ,SZ002600,领益智造,,index_stock_cons_csindex
real_akshare,False,False,akshare,002602.SZ,SZ002602,世纪华通,,index_stock_cons_csindex
real_akshare,False,False,akshare,002625.SZ,SZ002625,光启技术,,index_stock_cons_csindex
real_akshare,False,False,akshare,002648.SZ,SZ002648,卫星化学,,index_stock_cons_csindex
real_akshare,False,False,akshare,002709.SZ,SZ002709,天赐材料,,index_stock_cons_csindex
real_akshare,False,False,akshare,002714.SZ,SZ002714,牧原股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,002736.SZ,SZ002736,国信证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,002837.SZ,SZ002837,英维克,,index_stock_cons_csindex
real_akshare,False,False,akshare,002916.SZ,SZ002916,深南电路,,index_stock_cons_csindex
real_akshare,False,False,akshare,002920.SZ,SZ002920,德赛西威,,index_stock_cons_csindex
real_akshare,False,False,akshare,002938.SZ,SZ002938,鹏鼎控股,,index_stock_cons_csindex
real_akshare,False,False,akshare,003816.SZ,SZ003816,中国广核,,index_stock_cons_csindex
real_akshare,False,False,akshare,300014.SZ,SZ300014,亿纬锂能,,index_stock_cons_csindex
real_akshare,False,False,akshare,300015.SZ,SZ300015,爱尔眼科,,index_stock_cons_csindex
real_akshare,False,False,akshare,300033.SZ,SZ300033,同花顺,,index_stock_cons_csindex
real_akshare,False,False,akshare,300059.SZ,SZ300059,东方财富,,index_stock_cons_csindex
real_akshare,False,False,akshare,300122.SZ,SZ300122,智飞生物,,index_stock_cons_csindex
real_akshare,False,False,akshare,300124.SZ,SZ300124,汇川技术,,index_stock_cons_csindex
real_akshare,False,False,akshare,300251.SZ,SZ300251,光线传媒,,index_stock_cons_csindex
