date,rows,selected_count,unknown_rows,unknown_selected_count,unknown_row_ratio,unknown_selected_ratio,path
2018-01-02,231,226,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-03,231,226,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-04,233,227,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-05,233,227,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-08,233,227,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-09,233,227,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-10,232,226,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-11,232,226,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-12,232,226,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-15,232,226,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-16,232,226,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-17,232,226,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-18,231,225,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-19,231,225,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-22,230,225,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-23,228,222,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-24,228,223,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-25,228,223,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-26,228,223,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-29,228,223,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-30,228,223,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-01-31,229,223,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-01,230,224,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-02,228,222,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-05,229,223,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-06,229,223,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-07,229,223,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-08,229,223,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-09,230,224,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-12,231,225,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-13,231,225,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-14,231,224,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-22,230,223,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-23,230,223,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-26,231,224,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-27,231,225,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-02-28,232,226,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-03-01,230,224,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-03-02,231,225,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-03-05,231,225,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-03-06,231,225,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-03-07,231,225,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-03-08,231,225,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-03-09,232,226,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-03-12,232,226,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
