symbol,industry,industry_source,rows,selected_rows,has_industry,is_unknown
000001.SZ,J 金融业,akshare_metadata_cache,2054,2054,True,False
000002.SZ,K 房地产,akshare_metadata_cache,2054,2054,True,False
000009.SZ,J 金融业,akshare_metadata_cache,2054,2054,True,False
000012.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000021.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000027.SZ,D 水电煤气,akshare_metadata_cache,2054,2054,True,False
000028.SZ,F 批发零售,akshare_metadata_cache,2054,2054,True,False
000029.SZ,K 房地产,akshare_metadata_cache,1363,1360,True,False
000030.SZ,C 制造业,akshare_metadata_cache,2054,1978,True,False
000032.SZ,E 建筑业,akshare_metadata_cache,2042,2042,True,False
000034.SZ,F 批发零售,akshare_metadata_cache,1962,1962,True,False
000035.SZ,N 公共环保,akshare_metadata_cache,1923,1921,True,False
000039.SZ,C 制造业,akshare_metadata_cache,2049,2049,True,False
000048.SZ,A 农林牧渔,akshare_metadata_cache,2004,1833,True,False
000049.SZ,C 制造业,akshare_metadata_cache,2048,2048,True,False
000050.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000058.SZ,L 商务服务,akshare_metadata_cache,2054,2048,True,False
000059.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000060.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000061.SZ,L 商务服务,akshare_metadata_cache,2044,2044,True,False
000062.SZ,F 批发零售,akshare_metadata_cache,2044,2044,True,False
000063.SZ,C 制造业,akshare_metadata_cache,2014,2014,True,False
000065.SZ,F 批发零售,akshare_metadata_cache,2048,2048,True,False
000088.SZ,G 运输仓储,akshare_metadata_cache,2038,2038,True,False
000089.SZ,G 运输仓储,akshare_metadata_cache,2054,2054,True,False
000099.SZ,G 运输仓储,akshare_metadata_cache,2054,2054,True,False
000100.SZ,C 制造业,akshare_metadata_cache,2053,2053,True,False
000155.SZ,D 水电煤气,akshare_metadata_cache,2033,2033,True,False
000156.SZ,I 信息技术,akshare_metadata_cache,1930,1930,True,False
000157.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000166.SZ,J 金融业,akshare_metadata_cache,2054,2054,True,False
000301.SZ,C 制造业,akshare_metadata_cache,2029,2029,True,False
000333.SZ,C 制造业,akshare_metadata_cache,2014,2014,True,False
000338.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000400.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000403.SZ,C 制造业,akshare_metadata_cache,2040,1981,True,False
000408.SZ,C 制造业,akshare_metadata_cache,2022,2022,True,False
000415.SZ,L 商务服务,akshare_metadata_cache,1935,1935,True,False
000420.SZ,C 制造业,akshare_metadata_cache,2029,1999,True,False
000422.SZ,C 制造业,akshare_metadata_cache,2033,1954,True,False
000423.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000425.SZ,C 制造业,akshare_metadata_cache,2031,2031,True,False
000429.SZ,G 运输仓储,akshare_metadata_cache,2054,2028,True,False
000498.SZ,E 建筑业,akshare_metadata_cache,2043,2043,True,False
000503.SZ,I 信息技术,akshare_metadata_cache,2034,2034,True,False
000506.SZ,B 采矿业,akshare_metadata_cache,1959,1959,True,False
000513.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000519.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000528.SZ,C 制造业,akshare_metadata_cache,2033,2033,True,False
000534.SZ,C 制造业,akshare_metadata_cache,1948,1905,True,False
000537.SZ,D 水电煤气,akshare_metadata_cache,2054,2054,True,False
000538.SZ,C 制造业,akshare_metadata_cache,2003,2003,True,False
000539.SZ,D 水电煤气,akshare_metadata_cache,2054,1928,True,False
000543.SZ,D 水电煤气,akshare_metadata_cache,2043,2043,True,False
000550.SZ,C 制造业,akshare_metadata_cache,2054,2027,True,False
000552.SZ,B 采矿业,akshare_metadata_cache,2033,2033,True,False
000555.SZ,I 信息技术,akshare_metadata_cache,2049,2049,True,False
000559.SZ,C 制造业,akshare_metadata_cache,2044,2044,True,False
000563.SZ,J 金融业,akshare_metadata_cache,2048,2048,True,False
000567.SZ,J 金融业,akshare_metadata_cache,2054,2054,True,False
000568.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000581.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000582.SZ,G 运输仓储,akshare_metadata_cache,2054,2054,True,False
000591.SZ,D 水电煤气,akshare_metadata_cache,2054,2054,True,False
000596.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000598.SZ,D 水电煤气,akshare_metadata_cache,2054,2054,True,False
000600.SZ,D 水电煤气,akshare_metadata_cache,2052,2052,True,False
000603.SZ,B 采矿业,akshare_metadata_cache,1988,1988,True,False
000612.SZ,C 制造业,akshare_metadata_cache,2039,2003,True,False
000617.SZ,J 金融业,akshare_metadata_cache,2054,2010,True,False
000620.SZ,K 房地产,akshare_metadata_cache,2051,2051,True,False
000623.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000625.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000628.SZ,E 建筑业,akshare_metadata_cache,2044,1986,True,False
000629.SZ,C 制造业,akshare_metadata_cache,1896,1896,True,False
000630.SZ,C 制造业,akshare_metadata_cache,2044,2044,True,False
000636.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000650.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000651.SZ,C 制造业,akshare_metadata_cache,2048,2048,True,False
000657.SZ,C 制造业,akshare_metadata_cache,2044,2044,True,False
000661.SZ,C 制造业,akshare_metadata_cache,2045,2045,True,False
000672.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000676.SZ,L 商务服务,akshare_metadata_cache,2054,2054,True,False
000680.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000681.SZ,I 信息技术,akshare_metadata_cache,2054,2054,True,False
000682.SZ,I 信息技术,akshare_metadata_cache,2048,1955,True,False
000683.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000685.SZ,D 水电煤气,akshare_metadata_cache,2054,2054,True,False
000686.SZ,J 金融业,akshare_metadata_cache,2054,2054,True,False
000688.SZ,B 采矿业,akshare_metadata_cache,2023,2023,True,False
000690.SZ,D 水电煤气,akshare_metadata_cache,2054,2054,True,False
000703.SZ,C 制造业,akshare_metadata_cache,1991,1991,True,False
000708.SZ,C 制造业,akshare_metadata_cache,2048,2048,True,False
000709.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000712.SZ,J 金融业,akshare_metadata_cache,2054,2054,True,False
000719.SZ,R 文化传播,akshare_metadata_cache,2054,2041,True,False
000723.SZ,C 制造业,akshare_metadata_cache,1969,1969,True,False
000725.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000727.SZ,C 制造业,akshare_metadata_cache,2045,2045,True,False
000728.SZ,J 金融业,akshare_metadata_cache,2048,2048,True,False
000729.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000733.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000737.SZ,C 制造业,akshare_metadata_cache,2020,1678,True,False
000738.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000739.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000750.SZ,J 金融业,akshare_metadata_cache,2048,2048,True,False
000758.SZ,B 采矿业,akshare_metadata_cache,2044,2044,True,False
000762.SZ,B 采矿业,akshare_metadata_cache,2054,2054,True,False
000766.SZ,C 制造业,akshare_metadata_cache,1936,1936,True,False
000767.SZ,D 水电煤气,akshare_metadata_cache,2054,1896,True,False
000768.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000776.SZ,J 金融业,akshare_metadata_cache,2054,2054,True,False
000778.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000783.SZ,J 金融业,akshare_metadata_cache,2054,2054,True,False
000785.SZ,L 商务服务,akshare_metadata_cache,2043,1968,True,False
000786.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000791.SZ,D 水电煤气,akshare_metadata_cache,2045,2045,True,False
000792.SZ,C 制造业,akshare_metadata_cache,1740,1740,True,False
000795.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000800.SZ,C 制造业,akshare_metadata_cache,2043,2043,True,False
000801.SZ,C 制造业,akshare_metadata_cache,2044,2044,True,False
000807.SZ,C 制造业,akshare_metadata_cache,2044,2044,True,False
000810.SZ,C 制造业,akshare_metadata_cache,2051,2051,True,False
000811.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000813.SZ,C 制造业,akshare_metadata_cache,2052,2052,True,False
000825.SZ,C 制造业,akshare_metadata_cache,1946,1946,True,False
000828.SZ,G 运输仓储,akshare_metadata_cache,2054,2047,True,False
000829.SZ,F 批发零售,akshare_metadata_cache,2054,2054,True,False
000830.SZ,C 制造业,akshare_metadata_cache,2044,2044,True,False
000831.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000833.SZ,S 综合,akshare_metadata_cache,2054,1961,True,False
000837.SZ,C 制造业,akshare_metadata_cache,2052,2046,True,False
000848.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000858.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000860.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000875.SZ,D 水电煤气,akshare_metadata_cache,2044,2044,True,False
000878.SZ,C 制造业,akshare_metadata_cache,2035,2035,True,False
000880.SZ,C 制造业,akshare_metadata_cache,2044,1819,True,False
000883.SZ,D 水电煤气,akshare_metadata_cache,2054,2054,True,False
000885.SZ,N 公共环保,akshare_metadata_cache,2038,2038,True,False
000887.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000893.SZ,C 制造业,akshare_metadata_cache,2041,1952,True,False
000895.SZ,C 制造业,akshare_metadata_cache,2039,2039,True,False
000898.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000899.SZ,D 水电煤气,akshare_metadata_cache,2049,1725,True,False
000901.SZ,C 制造业,akshare_metadata_cache,2048,2048,True,False
000902.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000913.SZ,C 制造业,akshare_metadata_cache,2054,2028,True,False
000917.SZ,I 信息技术,akshare_metadata_cache,2054,2054,True,False
000921.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000923.SZ,B 采矿业,akshare_metadata_cache,2054,2054,True,False
000927.SZ,L 商务服务,akshare_metadata_cache,2033,2033,True,False
000928.SZ,E 建筑业,akshare_metadata_cache,2054,2054,True,False
000930.SZ,C 制造业,akshare_metadata_cache,1964,1964,True,False
000932.SZ,C 制造业,akshare_metadata_cache,2047,2047,True,False
000935.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000937.SZ,B 采矿业,akshare_metadata_cache,2054,2054,True,False
000938.SZ,C 制造业,akshare_metadata_cache,2049,2049,True,False
000950.SZ,F 批发零售,akshare_metadata_cache,1894,1894,True,False
000951.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000959.SZ,C 制造业,akshare_metadata_cache,2022,2022,True,False
000960.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000962.SZ,C 制造业,akshare_metadata_cache,2014,2014,True,False
000963.SZ,F 批发零售,akshare_metadata_cache,2054,2054,True,False
000966.SZ,D 水电煤气,akshare_metadata_cache,2043,1976,True,False
000967.SZ,C 制造业,akshare_metadata_cache,1998,1998,True,False
000969.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000970.SZ,C 制造业,akshare_metadata_cache,2048,2048,True,False
000973.SZ,C 制造业,akshare_metadata_cache,2044,2044,True,False
000975.SZ,B 采矿业,akshare_metadata_cache,2039,2039,True,False
000977.SZ,C 制造业,akshare_metadata_cache,2048,2048,True,False
000983.SZ,B 采矿业,akshare_metadata_cache,2044,2044,True,False
000987.SZ,J 金融业,akshare_metadata_cache,2043,2043,True,False
000988.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000990.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000997.SZ,I 信息技术,akshare_metadata_cache,2054,2054,True,False
000998.SZ,A 农林牧渔,akshare_metadata_cache,2034,2034,True,False
000999.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
001203.SZ,B 采矿业,akshare_metadata_cache,1243,1158,True,False
001221.SZ,C 制造业,akshare_metadata_cache,217,137,True,False
001227.SZ,J 金融业,akshare_metadata_cache,1072,996,True,False
001233.SZ,C 制造业,akshare_metadata_cache,139,61,True,False
001236.SZ,J 金融业,akshare_metadata_cache,939,859,True,False
001267.SZ,C 制造业,akshare_metadata_cache,1110,1030,True,False
001280.SZ,B 采矿业,akshare_metadata_cache,133,55,True,False
001286.SZ,D 水电煤气,akshare_metadata_cache,776,695,True,False
001287.SZ,F 批发零售,akshare_metadata_cache,776,695,True,False
001301.SZ,C 制造业,akshare_metadata_cache,842,763,True,False
001309.SZ,C 制造业,akshare_metadata_cache,964,884,True,False
001337.SZ,B 采矿业,akshare_metadata_cache,801,721,True,False
001339.SZ,C 制造业,akshare_metadata_cache,933,853,True,False
001359.SZ,C 制造业,akshare_metadata_cache,541,461,True,False
001369.SZ,C 制造业,akshare_metadata_cache,114,37,True,False
001382.SZ,C 制造业,akshare_metadata_cache,305,224,True,False
001386.SZ,C 制造业,akshare_metadata_cache,163,82,True,False
001389.SZ,C 制造业,akshare_metadata_cache,538,458,True,False
001391.SZ,G 运输仓储,akshare_metadata_cache,357,279,True,False
001696.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
001896.SZ,D 水电煤气,akshare_metadata_cache,2043,2017,True,False
001914.SZ,K 房地产,akshare_metadata_cache,2043,2043,True,False
001965.SZ,G 运输仓储,akshare_metadata_cache,2054,1981,True,False
001979.SZ,K 房地产,akshare_metadata_cache,2038,2038,True,False
002001.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002003.SZ,C 制造业,akshare_metadata_cache,2054,2022,True,False
002004.SZ,C 制造业,akshare_metadata_cache,2008,2008,True,False
002006.SZ,C 制造业,akshare_metadata_cache,2054,2026,True,False
002007.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002008.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002010.SZ,L 商务服务,akshare_metadata_cache,2044,2044,True,False
002011.SZ,C 制造业,akshare_metadata_cache,1938,1938,True,False
002015.SZ,D 水电煤气,akshare_metadata_cache,2039,1956,True,False
002017.SZ,C 制造业,akshare_metadata_cache,2048,2007,True,False
002019.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002020.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002023.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002025.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002027.SZ,L 商务服务,akshare_metadata_cache,2054,2054,True,False
002028.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002032.SZ,C 制造业,akshare_metadata_cache,2053,2053,True,False
002036.SZ,C 制造业,akshare_metadata_cache,2049,2049,True,False
002041.SZ,A 农林牧渔,akshare_metadata_cache,2054,2054,True,False
002043.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002044.SZ,Q 卫生,akshare_metadata_cache,2054,2054,True,False
002045.SZ,C 制造业,akshare_metadata_cache,2049,2049,True,False
002046.SZ,C 制造业,akshare_metadata_cache,2054,1983,True,False
002048.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002049.SZ,C 制造业,akshare_metadata_cache,2028,2028,True,False
002050.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002051.SZ,E 建筑业,akshare_metadata_cache,1936,1936,True,False
002053.SZ,D 水电煤气,akshare_metadata_cache,2016,1809,True,False
002056.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002060.SZ,E 建筑业,akshare_metadata_cache,2044,1993,True,False
002061.SZ,E 建筑业,akshare_metadata_cache,2054,2054,True,False
002063.SZ,I 信息技术,akshare_metadata_cache,2054,2054,True,False
002064.SZ,C 制造业,akshare_metadata_cache,2039,2039,True,False
002065.SZ,I 信息技术,akshare_metadata_cache,2044,2044,True,False
002073.SZ,C 制造业,akshare_metadata_cache,2044,2044,True,False
002074.SZ,C 制造业,akshare_metadata_cache,2047,2047,True,False
002075.SZ,C 制造业,akshare_metadata_cache,1837,1836,True,False
002077.SZ,C 制造业,akshare_metadata_cache,2052,2052,True,False
002078.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002081.SZ,E 建筑业,akshare_metadata_cache,2054,2054,True,False
