symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
000009.SZ,eastmoney,1,False,eastmoney,,
000021.SZ,eastmoney,1,False,eastmoney,,
000027.SZ,eastmoney,1,False,eastmoney,,
000032.SZ,eastmoney,1,False,eastmoney,,
000034.SZ,eastmoney,1,False,eastmoney,,
000060.SZ,eastmoney,1,False,eastmoney,,
000062.SZ,eastmoney,1,False,eastmoney,,
000088.SZ,eastmoney,1,False,eastmoney,,
000100.SZ,eastmoney,1,False,eastmoney,,
000155.SZ,eastmoney,1,False,eastmoney,,
000301.SZ,eastmoney,1,False,eastmoney,,
000338.SZ,eastmoney,1,False,eastmoney,,
000400.SZ,eastmoney,1,False,eastmoney,,
000408.SZ,eastmoney,1,False,eastmoney,,
000415.SZ,eastmoney,1,False,eastmoney,,
000423.SZ,eastmoney,1,False,eastmoney,,
000425.SZ,eastmoney,1,False,eastmoney,,
000429.SZ,eastmoney,1,False,eastmoney,,
000513.SZ,eastmoney,1,False,eastmoney,,
000519.SZ,eastmoney,1,False,eastmoney,,
000528.SZ,eastmoney,1,False,eastmoney,,
000537.SZ,eastmoney,1,False,eastmoney,,
000538.SZ,eastmoney,1,False,eastmoney,,
000539.SZ,eastmoney,1,False,eastmoney,,
000559.SZ,eastmoney,1,False,eastmoney,,
000568.SZ,eastmoney,1,False,eastmoney,,
000582.SZ,eastmoney,1,False,eastmoney,,
000591.SZ,eastmoney,1,False,eastmoney,,
000596.SZ,eastmoney,1,False,eastmoney,,
000598.SZ,eastmoney,1,False,eastmoney,,
000617.SZ,eastmoney,1,False,eastmoney,,
000623.SZ,eastmoney,1,False,eastmoney,,
000625.SZ,eastmoney,1,False,eastmoney,,
000629.SZ,eastmoney,1,False,eastmoney,,
000651.SZ,eastmoney,1,False,eastmoney,,
000661.SZ,eastmoney,1,False,eastmoney,,
000683.SZ,eastmoney,1,False,eastmoney,,
000703.SZ,eastmoney,1,False,eastmoney,,
000708.SZ,eastmoney,1,False,eastmoney,,
000709.SZ,eastmoney,1,False,eastmoney,,
000723.SZ,eastmoney,1,False,eastmoney,,
000725.SZ,eastmoney,1,False,eastmoney,,
000728.SZ,eastmoney,1,False,eastmoney,,
000729.SZ,eastmoney,1,False,eastmoney,,
000737.SZ,eastmoney,1,False,eastmoney,,
000738.SZ,eastmoney,1,False,eastmoney,,
000750.SZ,eastmoney,1,False,eastmoney,,
000768.SZ,eastmoney,1,False,eastmoney,,
000776.SZ,eastmoney,1,False,eastmoney,,
000783.SZ,eastmoney,1,False,eastmoney,,
000785.SZ,eastmoney,1,False,eastmoney,,
000786.SZ,eastmoney,1,False,eastmoney,,
000792.SZ,eastmoney,1,False,eastmoney,,
000800.SZ,eastmoney,1,False,eastmoney,,
000807.SZ,eastmoney,1,False,eastmoney,,
000831.SZ,eastmoney,1,False,eastmoney,,
000858.SZ,eastmoney,1,False,eastmoney,,
000883.SZ,eastmoney,1,False,eastmoney,,
000887.SZ,eastmoney,1,False,eastmoney,,
000893.SZ,eastmoney,1,False,eastmoney,,
000895.SZ,eastmoney,1,False,eastmoney,,
000898.SZ,eastmoney,1,False,eastmoney,,
000921.SZ,eastmoney,1,False,eastmoney,,
000932.SZ,eastmoney,1,False,eastmoney,,
000937.SZ,eastmoney,1,False,eastmoney,,
000938.SZ,eastmoney,1,False,eastmoney,,
000963.SZ,eastmoney,1,False,eastmoney,,
000967.SZ,eastmoney,1,False,eastmoney,,
000975.SZ,eastmoney,1,False,eastmoney,,
000977.SZ,eastmoney,1,False,eastmoney,,
000983.SZ,eastmoney,1,False,eastmoney,,
000987.SZ,eastmoney,1,False,eastmoney,,
000988.SZ,eastmoney,1,False,eastmoney,,
000997.SZ,eastmoney,1,False,eastmoney,,
000999.SZ,eastmoney,1,False,eastmoney,,
001203.SZ,eastmoney,1,False,eastmoney,,
001221.SZ,eastmoney,1,False,eastmoney,,
001286.SZ,eastmoney,1,False,eastmoney,,
001309.SZ,eastmoney,1,False,eastmoney,,
001386.SZ,eastmoney,1,False,eastmoney,,
001389.SZ,eastmoney,1,False,eastmoney,,
001391.SZ,eastmoney,1,False,eastmoney,,
001696.SZ,eastmoney,1,False,eastmoney,,
001965.SZ,eastmoney,1,False,eastmoney,,
001979.SZ,eastmoney,1,False,eastmoney,,
002007.SZ,eastmoney,1,False,eastmoney,,
002008.SZ,eastmoney,1,False,eastmoney,,
002025.SZ,eastmoney,1,False,eastmoney,,
002028.SZ,eastmoney,1,False,eastmoney,,
002032.SZ,eastmoney,1,False,eastmoney,,
002044.SZ,eastmoney,1,False,eastmoney,,
002049.SZ,eastmoney,1,False,eastmoney,,
002050.SZ,eastmoney,1,False,eastmoney,,
002064.SZ,eastmoney,1,False,eastmoney,,
002065.SZ,eastmoney,1,False,eastmoney,,
002074.SZ,eastmoney,1,False,eastmoney,,
002078.SZ,eastmoney,1,False,eastmoney,,
002120.SZ,eastmoney,1,False,eastmoney,,
002126.SZ,eastmoney,1,False,eastmoney,,
002130.SZ,eastmoney,1,False,eastmoney,,
002138.SZ,eastmoney,1,False,eastmoney,,
002142.SZ,eastmoney,1,False,eastmoney,,
002152.SZ,eastmoney,1,False,eastmoney,,
002153.SZ,eastmoney,1,False,eastmoney,,
002157.SZ,eastmoney,1,False,eastmoney,,
002179.SZ,eastmoney,1,False,eastmoney,,
002185.SZ,eastmoney,1,False,eastmoney,,
002195.SZ,eastmoney,1,False,eastmoney,,
002202.SZ,eastmoney,1,False,eastmoney,,
002203.SZ,eastmoney,1,False,eastmoney,,
002230.SZ,eastmoney,1,False,eastmoney,,
002236.SZ,eastmoney,1,False,eastmoney,,
002241.SZ,eastmoney,1,False,eastmoney,,
002244.SZ,eastmoney,1,False,eastmoney,,
002252.SZ,eastmoney,1,False,eastmoney,,
002261.SZ,eastmoney,1,False,eastmoney,,
002262.SZ,eastmoney,1,False,eastmoney,,
002265.SZ,eastmoney,1,False,eastmoney,,
002266.SZ,eastmoney,1,False,eastmoney,,
002271.SZ,eastmoney,1,False,eastmoney,,
002281.SZ,eastmoney,1,False,eastmoney,,
002304.SZ,eastmoney,1,False,eastmoney,,
002311.SZ,eastmoney,1,False,eastmoney,,
002312.SZ,eastmoney,1,False,eastmoney,,
002318.SZ,eastmoney,1,False,eastmoney,,
002335.SZ,eastmoney,1,False,eastmoney,,
002340.SZ,eastmoney,1,False,eastmoney,,
002352.SZ,eastmoney,1,False,eastmoney,,
002353.SZ,eastmoney,1,False,eastmoney,,
002371.SZ,eastmoney,1,False,eastmoney,,
