symbol,industry,industry_source,rows,selected_rows,has_industry,is_unknown
000001.SZ,J 金融业,akshare_metadata_cache,2054,2054,True,False
000002.SZ,K 房地产,akshare_metadata_cache,2054,2054,True,False
000006.SZ,K 房地产,akshare_metadata_cache,2012,803,True,False
000007.SZ,K 房地产,akshare_metadata_cache,1997,230,True,False
000019.SZ,F 批发零售,akshare_metadata_cache,1986,361,True,False
000025.SZ,F 批发零售,akshare_metadata_cache,2054,863,True,False
000026.SZ,F 批发零售,akshare_metadata_cache,2054,283,True,False
000027.SZ,D 水电煤气,akshare_metadata_cache,2054,586,True,False
000028.SZ,F 批发零售,akshare_metadata_cache,2054,820,True,False
000030.SZ,C 制造业,akshare_metadata_cache,2054,85,True,False
000032.SZ,E 建筑业,akshare_metadata_cache,2042,982,True,False
000039.SZ,C 制造业,akshare_metadata_cache,2049,1263,True,False
000048.SZ,A 农林牧渔,akshare_metadata_cache,2004,70,True,False
000050.SZ,C 制造业,akshare_metadata_cache,2054,1085,True,False
000061.SZ,L 商务服务,akshare_metadata_cache,2044,243,True,False
000062.SZ,F 批发零售,akshare_metadata_cache,2044,650,True,False
000063.SZ,C 制造业,akshare_metadata_cache,2014,2014,True,False
000070.SZ,C 制造业,akshare_metadata_cache,2052,1109,True,False
000090.SZ,E 建筑业,akshare_metadata_cache,2049,530,True,False
000151.SZ,F 批发零售,akshare_metadata_cache,2044,709,True,False
000157.SZ,C 制造业,akshare_metadata_cache,2054,1902,True,False
000159.SZ,F 批发零售,akshare_metadata_cache,2054,369,True,False
000166.SZ,J 金融业,akshare_metadata_cache,2054,1966,True,False
000333.SZ,C 制造业,akshare_metadata_cache,2014,2014,True,False
000401.SZ,C 制造业,akshare_metadata_cache,2013,871,True,False
000403.SZ,C 制造业,akshare_metadata_cache,2040,467,True,False
000407.SZ,D 水电煤气,akshare_metadata_cache,2044,166,True,False
000417.SZ,F 批发零售,akshare_metadata_cache,2054,180,True,False
000421.SZ,D 水电煤气,akshare_metadata_cache,2044,238,True,False
000426.SZ,B 采矿业,akshare_metadata_cache,2005,1538,True,False
000498.SZ,E 建筑业,akshare_metadata_cache,2043,423,True,False
000501.SZ,F 批发零售,akshare_metadata_cache,2054,505,True,False
000504.SZ,M 科研服务,akshare_metadata_cache,2040,84,True,False
000505.SZ,C 制造业,akshare_metadata_cache,2048,511,True,False
000509.SZ,C 制造业,akshare_metadata_cache,1974,176,True,False
000513.SZ,C 制造业,akshare_metadata_cache,2054,1672,True,False
000516.SZ,Q 卫生,akshare_metadata_cache,1984,1165,True,False
000521.SZ,C 制造业,akshare_metadata_cache,2052,544,True,False
000523.SZ,C 制造业,akshare_metadata_cache,1994,108,True,False
000525.SZ,C 制造业,akshare_metadata_cache,2026,486,True,False
000526.SZ,P 教育,akshare_metadata_cache,1908,353,True,False
000528.SZ,C 制造业,akshare_metadata_cache,2033,1203,True,False
000531.SZ,D 水电煤气,akshare_metadata_cache,2054,133,True,False
000534.SZ,C 制造业,akshare_metadata_cache,1948,181,True,False
000536.SZ,C 制造业,akshare_metadata_cache,2052,810,True,False
000543.SZ,D 水电煤气,akshare_metadata_cache,2043,824,True,False
000544.SZ,D 水电煤气,akshare_metadata_cache,2054,71,True,False
000548.SZ,G 运输仓储,akshare_metadata_cache,2054,77,True,False
000550.SZ,C 制造业,akshare_metadata_cache,2054,771,True,False
000552.SZ,B 采矿业,akshare_metadata_cache,2033,466,True,False
000555.SZ,I 信息技术,akshare_metadata_cache,2049,1375,True,False
000559.SZ,C 制造业,akshare_metadata_cache,2044,626,True,False
000561.SZ,C 制造业,akshare_metadata_cache,2044,367,True,False
000586.SZ,C 制造业,akshare_metadata_cache,2036,326,True,False
000592.SZ,C 制造业,akshare_metadata_cache,2032,908,True,False
000598.SZ,D 水电煤气,akshare_metadata_cache,2054,247,True,False
000601.SZ,D 水电煤气,akshare_metadata_cache,2042,284,True,False
000603.SZ,B 采矿业,akshare_metadata_cache,1988,1130,True,False
000607.SZ,L 商务服务,akshare_metadata_cache,2054,305,True,False
000608.SZ,K 房地产,akshare_metadata_cache,2042,78,True,False
000612.SZ,C 制造业,akshare_metadata_cache,2039,868,True,False
000619.SZ,C 制造业,akshare_metadata_cache,2054,78,True,False
000623.SZ,C 制造业,akshare_metadata_cache,2054,1179,True,False
000630.SZ,C 制造业,akshare_metadata_cache,2044,1897,True,False
000635.SZ,C 制造业,akshare_metadata_cache,2054,192,True,False
000650.SZ,C 制造业,akshare_metadata_cache,2054,1144,True,False
000657.SZ,C 制造业,akshare_metadata_cache,2044,1031,True,False
000686.SZ,J 金融业,akshare_metadata_cache,2054,1089,True,False
000700.SZ,C 制造业,akshare_metadata_cache,2054,682,True,False
000708.SZ,C 制造业,akshare_metadata_cache,2048,414,True,False
000710.SZ,M 科研服务,akshare_metadata_cache,2054,923,True,False
000718.SZ,K 房地产,akshare_metadata_cache,2054,315,True,False
000723.SZ,C 制造业,akshare_metadata_cache,1969,1700,True,False
000726.SZ,C 制造业,akshare_metadata_cache,2054,35,True,False
000733.SZ,C 制造业,akshare_metadata_cache,2054,1990,True,False
000735.SZ,A 农林牧渔,akshare_metadata_cache,2052,1049,True,False
000736.SZ,K 房地产,akshare_metadata_cache,2052,689,True,False
000738.SZ,C 制造业,akshare_metadata_cache,2054,1678,True,False
000739.SZ,C 制造业,akshare_metadata_cache,2054,1223,True,False
000750.SZ,J 金融业,akshare_metadata_cache,2048,1280,True,False
000751.SZ,C 制造业,akshare_metadata_cache,2054,379,True,False
000753.SZ,F 批发零售,akshare_metadata_cache,2054,222,True,False
000755.SZ,G 运输仓储,akshare_metadata_cache,2024,169,True,False
000758.SZ,B 采矿业,akshare_metadata_cache,2044,973,True,False
000761.SZ,C 制造业,akshare_metadata_cache,2053,162,True,False
000766.SZ,C 制造业,akshare_metadata_cache,1936,918,True,False
000776.SZ,J 金融业,akshare_metadata_cache,2054,2054,True,False
000778.SZ,C 制造业,akshare_metadata_cache,2054,942,True,False
000782.SZ,C 制造业,akshare_metadata_cache,2043,8,True,False
000788.SZ,C 制造业,akshare_metadata_cache,2054,285,True,False
000789.SZ,C 制造业,akshare_metadata_cache,2054,950,True,False
000796.SZ,L 商务服务,akshare_metadata_cache,1920,571,True,False
000798.SZ,A 农林牧渔,akshare_metadata_cache,2054,256,True,False
000801.SZ,C 制造业,akshare_metadata_cache,2044,799,True,False
000803.SZ,N 公共环保,akshare_metadata_cache,2028,10,True,False
000810.SZ,C 制造业,akshare_metadata_cache,2051,1230,True,False
000811.SZ,C 制造业,akshare_metadata_cache,2054,884,True,False
000812.SZ,C 制造业,akshare_metadata_cache,1953,697,True,False
000819.SZ,C 制造业,akshare_metadata_cache,2054,277,True,False
000825.SZ,C 制造业,akshare_metadata_cache,1946,748,True,False
000829.SZ,F 批发零售,akshare_metadata_cache,2054,1099,True,False
000830.SZ,C 制造业,akshare_metadata_cache,2044,1671,True,False
000833.SZ,S 综合,akshare_metadata_cache,2054,530,True,False
000839.SZ,I 信息技术,akshare_metadata_cache,2052,745,True,False
000858.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
000859.SZ,C 制造业,akshare_metadata_cache,2044,624,True,False
000862.SZ,D 水电煤气,akshare_metadata_cache,2038,620,True,False
000868.SZ,C 制造业,akshare_metadata_cache,2051,744,True,False
000877.SZ,C 制造业,akshare_metadata_cache,2043,1144,True,False
000878.SZ,C 制造业,akshare_metadata_cache,2035,1969,True,False
000880.SZ,C 制造业,akshare_metadata_cache,2044,425,True,False
000882.SZ,L 商务服务,akshare_metadata_cache,2054,361,True,False
000887.SZ,C 制造业,akshare_metadata_cache,2054,1817,True,False
000888.SZ,N 公共环保,akshare_metadata_cache,2054,372,True,False
000892.SZ,R 文化传播,akshare_metadata_cache,2054,471,True,False
000895.SZ,C 制造业,akshare_metadata_cache,2039,1741,True,False
000897.SZ,K 房地产,akshare_metadata_cache,2052,224,True,False
000899.SZ,D 水电煤气,akshare_metadata_cache,2049,493,True,False
000905.SZ,F 批发零售,akshare_metadata_cache,2049,268,True,False
000906.SZ,L 商务服务,akshare_metadata_cache,2030,9,True,False
000908.SZ,C 制造业,akshare_metadata_cache,2045,378,True,False
000912.SZ,C 制造业,akshare_metadata_cache,1826,306,True,False
000915.SZ,C 制造业,akshare_metadata_cache,2054,647,True,False
000919.SZ,C 制造业,akshare_metadata_cache,2054,146,True,False
000921.SZ,C 制造业,akshare_metadata_cache,2054,1262,True,False
000922.SZ,C 制造业,akshare_metadata_cache,2053,323,True,False
000925.SZ,C 制造业,akshare_metadata_cache,2054,504,True,False
000926.SZ,K 房地产,akshare_metadata_cache,2048,396,True,False
000928.SZ,E 建筑业,akshare_metadata_cache,2054,838,True,False
000931.SZ,C 制造业,akshare_metadata_cache,2051,334,True,False
000933.SZ,C 制造业,akshare_metadata_cache,2044,1942,True,False
000935.SZ,C 制造业,akshare_metadata_cache,2054,707,True,False
000948.SZ,I 信息技术,akshare_metadata_cache,2044,864,True,False
000951.SZ,C 制造业,akshare_metadata_cache,2054,1368,True,False
000952.SZ,C 制造业,akshare_metadata_cache,2054,164,True,False
000953.SZ,C 制造业,akshare_metadata_cache,2038,131,True,False
000955.SZ,C 制造业,akshare_metadata_cache,2054,537,True,False
000959.SZ,C 制造业,akshare_metadata_cache,2022,473,True,False
000960.SZ,C 制造业,akshare_metadata_cache,2054,1964,True,False
000962.SZ,C 制造业,akshare_metadata_cache,2014,681,True,False
000965.SZ,K 房地产,akshare_metadata_cache,2054,404,True,False
000967.SZ,C 制造业,akshare_metadata_cache,1998,333,True,False
000968.SZ,B 采矿业,akshare_metadata_cache,2054,448,True,False
000981.SZ,C 制造业,akshare_metadata_cache,1985,761,True,False
000993.SZ,D 水电煤气,akshare_metadata_cache,2054,734,True,False
000995.SZ,C 制造业,akshare_metadata_cache,1636,395,True,False
001202.SZ,G 运输仓储,akshare_metadata_cache,1247,0,True,False
001205.SZ,G 运输仓储,akshare_metadata_cache,1240,19,True,False
001206.SZ,C 制造业,akshare_metadata_cache,1228,28,True,False
001210.SZ,D 水电煤气,akshare_metadata_cache,1186,0,True,False
001212.SZ,C 制造业,akshare_metadata_cache,1167,260,True,False
001215.SZ,C 制造业,akshare_metadata_cache,1159,0,True,False
001217.SZ,C 制造业,akshare_metadata_cache,1144,112,True,False
001218.SZ,C 制造业,akshare_metadata_cache,1137,0,True,False
001221.SZ,C 制造业,akshare_metadata_cache,217,0,True,False
001225.SZ,C 制造业,akshare_metadata_cache,808,0,True,False
001226.SZ,C 制造业,akshare_metadata_cache,971,32,True,False
001228.SZ,L 商务服务,akshare_metadata_cache,1005,6,True,False
001229.SZ,C 制造业,akshare_metadata_cache,938,17,True,False
001233.SZ,C 制造业,akshare_metadata_cache,139,0,True,False
001259.SZ,C 制造业,akshare_metadata_cache,921,0,True,False
001266.SZ,C 制造业,akshare_metadata_cache,1047,43,True,False
001268.SZ,C 制造业,akshare_metadata_cache,965,28,True,False
001269.SZ,C 制造业,akshare_metadata_cache,900,273,True,False
001277.SZ,C 制造业,akshare_metadata_cache,434,0,True,False
001278.SZ,C 制造业,akshare_metadata_cache,798,31,True,False
001279.SZ,C 制造业,akshare_metadata_cache,413,0,True,False
001280.SZ,B 采矿业,akshare_metadata_cache,133,55,True,False
001282.SZ,C 制造业,akshare_metadata_cache,747,108,True,False
001285.SZ,C 制造业,akshare_metadata_cache,163,0,True,False
001286.SZ,D 水电煤气,akshare_metadata_cache,776,215,True,False
001288.SZ,C 制造业,akshare_metadata_cache,1126,0,True,False
001289.SZ,D 水电煤气,akshare_metadata_cache,1067,81,True,False
001296.SZ,C 制造业,akshare_metadata_cache,1087,46,True,False
001301.SZ,C 制造业,akshare_metadata_cache,842,281,True,False
001306.SZ,C 制造业,akshare_metadata_cache,629,49,True,False
001308.SZ,C 制造业,akshare_metadata_cache,1033,111,True,False
001314.SZ,C 制造业,akshare_metadata_cache,805,338,True,False
001317.SZ,G 运输仓储,akshare_metadata_cache,1100,159,True,False
001319.SZ,C 制造业,akshare_metadata_cache,999,111,True,False
001322.SZ,C 制造业,akshare_metadata_cache,887,8,True,False
001323.SZ,C 制造业,akshare_metadata_cache,970,0,True,False
001324.SZ,C 制造业,akshare_metadata_cache,749,30,True,False
001326.SZ,C 制造业,akshare_metadata_cache,634,0,True,False
001328.SZ,C 制造业,akshare_metadata_cache,776,39,True,False
001331.SZ,D 水电煤气,akshare_metadata_cache,888,57,True,False
001332.SZ,C 制造业,akshare_metadata_cache,908,0,True,False
001338.SZ,C 制造业,akshare_metadata_cache,872,55,True,False
001358.SZ,C 制造业,akshare_metadata_cache,604,2,True,False
001360.SZ,C 制造业,akshare_metadata_cache,776,33,True,False
001366.SZ,C 制造业,akshare_metadata_cache,799,25,True,False
001367.SZ,C 制造业,akshare_metadata_cache,776,12,True,False
001373.SZ,C 制造业,akshare_metadata_cache,741,0,True,False
001382.SZ,C 制造业,akshare_metadata_cache,305,0,True,False
001388.SZ,C 制造业,akshare_metadata_cache,238,0,True,False
001391.SZ,G 运输仓储,akshare_metadata_cache,357,39,True,False
001393.SZ,C 制造业,akshare_metadata_cache,28,0,True,False
001896.SZ,D 水电煤气,akshare_metadata_cache,2043,567,True,False
001914.SZ,K 房地产,akshare_metadata_cache,2043,593,True,False
002001.SZ,C 制造业,akshare_metadata_cache,2054,1981,True,False
002003.SZ,C 制造业,akshare_metadata_cache,2054,42,True,False
002007.SZ,C 制造业,akshare_metadata_cache,2054,1659,True,False
002010.SZ,L 商务服务,akshare_metadata_cache,2044,606,True,False
002011.SZ,C 制造业,akshare_metadata_cache,1938,679,True,False
002017.SZ,C 制造业,akshare_metadata_cache,2048,906,True,False
002019.SZ,C 制造业,akshare_metadata_cache,2054,1020,True,False
002020.SZ,C 制造业,akshare_metadata_cache,2054,894,True,False
002022.SZ,C 制造业,akshare_metadata_cache,2047,539,True,False
002025.SZ,C 制造业,akshare_metadata_cache,2054,1853,True,False
002027.SZ,L 商务服务,akshare_metadata_cache,2054,2054,True,False
002028.SZ,C 制造业,akshare_metadata_cache,2054,1932,True,False
002030.SZ,C 制造业,akshare_metadata_cache,2054,1259,True,False
002035.SZ,C 制造业,akshare_metadata_cache,2054,857,True,False
002037.SZ,C 制造业,akshare_metadata_cache,2004,339,True,False
002044.SZ,Q 卫生,akshare_metadata_cache,2054,1898,True,False
002045.SZ,C 制造业,akshare_metadata_cache,2049,1424,True,False
002046.SZ,C 制造业,akshare_metadata_cache,2054,673,True,False
002047.SZ,E 建筑业,akshare_metadata_cache,1984,440,True,False
002048.SZ,C 制造业,akshare_metadata_cache,2054,1097,True,False
002056.SZ,C 制造业,akshare_metadata_cache,2054,1938,True,False
002057.SZ,C 制造业,akshare_metadata_cache,2054,758,True,False
002059.SZ,N 公共环保,akshare_metadata_cache,1938,237,True,False
002060.SZ,E 建筑业,akshare_metadata_cache,2044,324,True,False
002068.SZ,C 制造业,akshare_metadata_cache,2054,987,True,False
002069.SZ,A 农林牧渔,akshare_metadata_cache,2049,84,True,False
002074.SZ,C 制造业,akshare_metadata_cache,2047,2047,True,False
002076.SZ,C 制造业,akshare_metadata_cache,2037,319,True,False
002084.SZ,C 制造业,akshare_metadata_cache,2054,205,True,False
002085.SZ,C 制造业,akshare_metadata_cache,2006,1078,True,False
002086.SZ,A 农林牧渔,akshare_metadata_cache,1978,328,True,False
002090.SZ,C 制造业,akshare_metadata_cache,2047,333,True,False
002093.SZ,I 信息技术,akshare_metadata_cache,2054,905,True,False
002097.SZ,C 制造业,akshare_metadata_cache,2051,621,True,False
002098.SZ,C 制造业,akshare_metadata_cache,1885,293,True,False
002101.SZ,C 制造业,akshare_metadata_cache,2054,455,True,False
002106.SZ,C 制造业,akshare_metadata_cache,2054,820,True,False
002107.SZ,C 制造业,akshare_metadata_cache,2054,89,True,False
002110.SZ,C 制造业,akshare_metadata_cache,2047,954,True,False
002114.SZ,C 制造业,akshare_metadata_cache,2050,244,True,False
002116.SZ,E 建筑业,akshare_metadata_cache,2054,291,True,False
002119.SZ,C 制造业,akshare_metadata_cache,2054,1129,True,False
002131.SZ,L 商务服务,akshare_metadata_cache,2051,1750,True,False
002132.SZ,C 制造业,akshare_metadata_cache,2054,558,True,False
002133.SZ,K 房地产,akshare_metadata_cache,2054,98,True,False
002139.SZ,C 制造业,akshare_metadata_cache,2054,1687,True,False
002140.SZ,E 建筑业,akshare_metadata_cache,2054,291,True,False
002141.SZ,C 制造业,akshare_metadata_cache,2052,279,True,False
002144.SZ,C 制造业,akshare_metadata_cache,2054,18,True,False
