symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
000025.SZ,eastmoney,1.0,False,eastmoney,,
000027.SZ,eastmoney,1.0,False,eastmoney,,
000028.SZ,eastmoney,1.0,False,eastmoney,,
000030.SZ,eastmoney,1.0,False,eastmoney,,
000032.SZ,eastmoney,1.0,False,eastmoney,,
000048.SZ,eastmoney,1.0,False,eastmoney,,
000062.SZ,eastmoney,1.0,False,eastmoney,,
000159.SZ,eastmoney,1.0,False,eastmoney,,
000401.SZ,eastmoney,1.0,False,eastmoney,,
000403.SZ,eastmoney,1.0,False,eastmoney,,
000407.SZ,eastmoney,1.0,False,eastmoney,,
000426.SZ,eastmoney,1.0,False,eastmoney,,
000504.SZ,eastmoney,1.0,False,eastmoney,,
000505.SZ,eastmoney,1.0,False,eastmoney,,
000513.SZ,eastmoney,1.0,False,eastmoney,,
000516.SZ,eastmoney,1.0,False,eastmoney,,
000521.SZ,eastmoney,1.0,False,eastmoney,,
000523.SZ,eastmoney,1.0,False,eastmoney,,
000525.SZ,eastmoney,1.0,False,eastmoney,,
000528.SZ,eastmoney,1.0,False,eastmoney,,
000548.SZ,eastmoney,1.0,False,eastmoney,,
000550.SZ,eastmoney,1.0,False,eastmoney,,
000552.SZ,eastmoney,1.0,False,eastmoney,,
000559.SZ,eastmoney,1.0,False,eastmoney,,
000586.SZ,eastmoney,1.0,False,eastmoney,,
000598.SZ,eastmoney,1.0,False,eastmoney,,
000601.SZ,eastmoney,1.0,False,eastmoney,,
000603.SZ,eastmoney,1.0,False,eastmoney,,
000607.SZ,eastmoney,1.0,False,eastmoney,,
000608.SZ,eastmoney,1.0,False,eastmoney,,
000612.SZ,eastmoney,1.0,False,eastmoney,,
000619.SZ,eastmoney,1.0,False,eastmoney,,
000623.SZ,eastmoney,1.0,False,eastmoney,,
000708.SZ,eastmoney,1.0,False,eastmoney,,
000723.SZ,eastmoney,1.0,False,eastmoney,,
000738.SZ,eastmoney,1.0,False,eastmoney,,
000750.SZ,eastmoney,1.0,False,eastmoney,,
000751.SZ,eastmoney,1.0,False,eastmoney,,
000755.SZ,eastmoney,1.0,False,eastmoney,,
000766.SZ,eastmoney,1.0,False,eastmoney,,
000776.SZ,eastmoney,1.0,False,eastmoney,,
000778.SZ,eastmoney,1.0,False,eastmoney,,
000782.SZ,eastmoney,1.0,False,eastmoney,,
000789.SZ,eastmoney,1.0,False,eastmoney,,
000796.SZ,eastmoney,1.0,False,eastmoney,,
000801.SZ,eastmoney,1.0,False,eastmoney,,
000829.SZ,eastmoney,1.0,False,eastmoney,,
000833.SZ,eastmoney,1.0,False,eastmoney,,
000839.SZ,eastmoney,1.0,False,eastmoney,,
000858.SZ,eastmoney,1.0,False,eastmoney,,
000862.SZ,eastmoney,1.0,False,eastmoney,,
000882.SZ,eastmoney,1.0,False,eastmoney,,
000887.SZ,eastmoney,1.0,False,eastmoney,,
000892.SZ,eastmoney,1.0,False,eastmoney,,
000895.SZ,eastmoney,1.0,False,eastmoney,,
000897.SZ,eastmoney,1.0,False,eastmoney,,
000905.SZ,eastmoney,1.0,False,eastmoney,,
000906.SZ,eastmoney,1.0,False,eastmoney,,
