universe_name,universe_mode,selected_mode,dynamic_liquidity_top_n,candidate_pool_size,requested_symbols,actual_symbols,missing_symbols_count,avg_selected_universe_count,min_selected_universe_count,max_selected_universe_count,model,model_key,benchmark,train_start,train_end,valid_start,valid_end,test_start,test_end,is_ytd,config_path,log_path,caveats,IC,ICIR,RankIC,RankICIR,excess_annualized_return_with_cost,excess_information_ratio_with_cost,excess_max_drawdown_with_cost,account_total_return,benchmark_total_return,turnover,cost,experiment_id,run_id,candidate_symbol_coverage,selected_top_n_reached,data_sufficient_for_dynamic_top_n,beta_hs300,beta_csi500,beta_csi1000,industry_unknown_weight
csi1800_current_2018_2026,current_constituent,eligible_only,,,1800,1800,0,1529.1178188899707,1124,1800,Alpha158 + LightGBM,alpha158_lgb,SH000852,2018-01-01,2020-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31,False,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2018_2022\alpha158_lgb\workflow.yaml,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2018_2022\alpha158_lgb\qrun.log,current_constituent_bias; eligible_only; complete_calendar_test_window; qlib_uniform_limit_threshold_0.095; industry_metadata_coverage_required,0.0259793249788063,0.2240223461218722,0.0134264580091264,0.1013624337764213,0.4680459234543255,3.362956366565049,-0.0848515886323233,0.2373949281707938,-0.2158093452453613,0.4036217304816075,660855441.1993699,738980534231996348,3576fd46b51e44c89a41e77b6ecaff04,1.0,,,,,,
csi1800_current_2018_2026,current_constituent,eligible_only,,,1800,1800,0,1529.1178188899707,1124,1800,Alpha158 + LightGBM,alpha158_lgb,SH000852,2019-01-01,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,False,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2019_2023\alpha158_lgb\workflow.yaml,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2019_2023\alpha158_lgb\qrun.log,current_constituent_bias; eligible_only; complete_calendar_test_window; qlib_uniform_limit_threshold_0.095; industry_metadata_coverage_required,0.0155075695941492,0.181621298872644,-0.0195158397200431,-0.1851127365647858,0.3811216999091033,3.261353023831907,-0.0469896154853439,0.3638457858219501,-0.0627854466438293,0.4046519753904905,778582876.1000584,738980534231996348,3341e67ea6c347c485c0757abfe6c547,1.0,,,,,,
csi1800_current_2018_2026,current_constituent,eligible_only,,,1800,1800,0,1529.1178188899707,1124,1800,Alpha158 + LightGBM,alpha158_lgb,SH000852,2020-01-01,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,False,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2020_2024\alpha158_lgb\workflow.yaml,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2020_2024\alpha158_lgb\qrun.log,current_constituent_bias; eligible_only; complete_calendar_test_window; qlib_uniform_limit_threshold_0.095; industry_metadata_coverage_required,0.0222472587756415,0.1976133447123573,0.0113777824948895,0.0938288374456146,0.5086272091811894,3.315508363820668,-0.1296146076817215,0.6609737488976577,0.0119717121124267,0.4038497006154091,672580145.1053622,738980534231996348,af9d62816ce944c1929dfc5e89269a20,1.0,,,,,,
csi1800_current_2018_2026,current_constituent,eligible_only,,,1800,1800,0,1529.1178188899707,1124,1800,Alpha158 + LightGBM,alpha158_lgb,SH000852,2021-01-01,2023-12-31,2024-01-01,2024-12-31,2025-01-01,2025-12-31,False,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2021_2025\alpha158_lgb\workflow.yaml,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2021_2025\alpha158_lgb\qrun.log,current_constituent_bias; eligible_only; complete_calendar_test_window; qlib_uniform_limit_threshold_0.095; industry_metadata_coverage_required,0.0218256998470746,0.2274846409718116,0.0237244495998735,0.2307854409194846,0.6032003998487272,4.781334737443664,-0.0447688135654109,1.3317608800909793,0.2748647928237915,0.4048664763774302,983359230.1868836,738980534231996348,581bb584701345ad8d799fbb7c141996,1.0,,,,,,
csi1800_current_2018_2026,current_constituent,eligible_only,,,1800,1800,0,1529.1178188899707,1124,1800,Alpha158 + LightGBM,alpha158_lgb,SH000852,2022-01-01,2024-12-31,2025-01-01,2025-12-31,2026-01-01,2026-06-24,True,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2022_2026_ytd\alpha158_lgb\workflow.yaml,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2022_2026_ytd\alpha158_lgb\qrun.log,current_constituent_bias; eligible_only; 2026_ytd_window; qlib_uniform_limit_threshold_0.095; industry_metadata_coverage_required,-0.0017179422156024,-0.0170780592038834,0.022365335454297,0.2137597494863392,0.1796943205788065,1.3959987653183876,-0.0449519541728792,0.2638317956586453,0.1577558517456054,0.4052970863922679,150850435.37473786,738980534231996348,f8932fc399d84c0cae5b4aa583502734,1.0,,,,,,
csi1800_current_2018_2026,current_constituent,eligible_only,,,1800,1800,0,1529.1178188899707,1124,1800,Reversal + LowVol 1d,reversal_lowvol_1d,SH000852,2018-01-01,2020-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31,False,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2018_2022\reversal_lowvol_1d\workflow.yaml,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2018_2022\reversal_lowvol_1d\qrun.log,current_constituent_bias; eligible_only; complete_calendar_test_window; qlib_uniform_limit_threshold_0.095; industry_metadata_coverage_required,0.0128715816712555,0.0736989413515555,0.0242355065900784,0.1214751831173855,0.107482811059016,0.7376115517429188,-0.101139034693579,-0.1392139716434155,-0.2158093452453613,0.4029981019119035,574843742.280557,738980534231996348,6ecb84e045794eaebbde7e1f7e53d111,1.0,,,1.4340221461138487,1.1812531663903352,1.1680164039962817,0.464677472485962
csi1800_current_2018_2026,current_constituent,eligible_only,,,1800,1800,0,1529.1178188899707,1124,1800,Reversal + LowVol 1d,reversal_lowvol_1d,SH000852,2019-01-01,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,False,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2019_2023\reversal_lowvol_1d\workflow.yaml,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2019_2023\reversal_lowvol_1d\qrun.log,current_constituent_bias; eligible_only; complete_calendar_test_window; qlib_uniform_limit_threshold_0.095; industry_metadata_coverage_required,0.0072827587309156,0.0448789916936152,0.0267193986981207,0.161824305138437,0.2282037611598888,1.8899168188143949,-0.068365912729434,0.171218036034688,-0.0627854466438293,0.4030166799661118,714660334.5965999,738980534231996348,0964458b0b624aadad4ba2ba02cc179e,1.0,,,1.4340221461138487,1.1812531663903352,1.1680164039962817,0.464677472485962
csi1800_current_2018_2026,current_constituent,eligible_only,,,1800,1800,0,1529.1178188899707,1124,1800,Reversal + LowVol 1d,reversal_lowvol_1d,SH000852,2020-01-01,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,False,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2020_2024\reversal_lowvol_1d\workflow.yaml,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2020_2024\reversal_lowvol_1d\qrun.log,current_constituent_bias; eligible_only; complete_calendar_test_window; qlib_uniform_limit_threshold_0.095; industry_metadata_coverage_required,0.0049267550956984,0.0262778806586475,0.0220885148539665,0.1018100790963654,0.2414580742149876,1.348112665505243,-0.135073036492724,0.2752693997021174,0.0119717121124267,0.397402162472335,645481519.4305464,738980534231996348,415110b87ec4418ba48a55948a6b5643,1.0,,,1.4340221461138487,1.1812531663903352,1.1680164039962817,0.464677472485962
csi1800_current_2018_2026,current_constituent,eligible_only,,,1800,1800,0,1529.1178188899707,1124,1800,Reversal + LowVol 1d,reversal_lowvol_1d,SH000852,2021-01-01,2023-12-31,2024-01-01,2024-12-31,2025-01-01,2025-12-31,False,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2021_2025\reversal_lowvol_1d\workflow.yaml,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2021_2025\reversal_lowvol_1d\qrun.log,current_constituent_bias; eligible_only; complete_calendar_test_window; qlib_uniform_limit_threshold_0.095; industry_metadata_coverage_required,-0.0010792866256296,-0.0063590312921224,0.0448899466068852,0.251191519309462,0.0947592739362649,0.7439034419463919,-0.161461600711242,0.3998817199577402,0.2748647928237915,0.4031635761722054,787057912.4128518,738980534231996348,f1029fe7f1df4ba0b882bc1636bf83eb,1.0,,,1.4340221461138487,1.1812531663903352,1.1680164039962817,0.464677472485962
csi1800_current_2018_2026,current_constituent,eligible_only,,,1800,1800,0,1529.1178188899707,1124,1800,Reversal + LowVol 1d,reversal_lowvol_1d,SH000852,2022-01-01,2024-12-31,2025-01-01,2025-12-31,2026-01-01,2026-06-24,True,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2022_2026_ytd\reversal_lowvol_1d\workflow.yaml,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2022_2026_ytd\reversal_lowvol_1d\qrun.log,current_constituent_bias; eligible_only; 2026_ytd_window; qlib_uniform_limit_threshold_0.095; industry_metadata_coverage_required,-0.0375336451925018,-0.1858530686460613,-8.182099972592439e-05,-0.0004101912849246,-0.5469992564980695,-3.163860858654119,-0.2428277291240985,-0.1025581034905551,0.1577558517456054,0.4008177381640281,139820139.3462131,738980534231996348,41ba05824c924348a309dab17ef6b049,1.0,,,1.4340221461138487,1.1812531663903352,1.1680164039962817,0.464677472485962
csi1800_current_2018_2026,current_constituent,eligible_only,,,1800,1800,0,1529.1178188899707,1124,1800,Reversal + LowVol 20d,reversal_lowvol_20d,SH000852,2018-01-01,2020-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31,False,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2018_2022\reversal_lowvol_20d\workflow.yaml,reports\rolling_baselines_2018_2026\csi1800_current_2018_2026\2018_2022\reversal_lowvol_20d\qrun.log,current_constituent_bias; eligible_only; complete_calendar_test_window; qlib_uniform_limit_threshold_0.095; industry_metadata_coverage_required,0.0663383305153394,0.4733432260659137,0.0886204845600451,0.572456989742074,0.1079885045009183,0.7413396663303647,-0.0998183610201192,-0.138583448099005,-0.2158093452453613,0.4026793713750314,572581714.8835381,738980534231996348,4b9854e68bd14ae1a3373de7f1958952,1.0,,,1.4340221461138487,1.1812531663903352,1.1680164039962817,0.464677472485962
